throughput,latency,threads
0.0,0.0,25
12.0,25.671254833333332,27
10.0,16.411905136363636,20
10.0,11.43449921875,20
10.0,11.106337499999999,21
54.0,5.781260791666667,24
0.0,5.781260791666667,24
10.0,5.677795990566037,25
10.0,5.220892663793103,26
16.0,4.7050275151515155,29
10.0,4.3990072887323945,31
0.0,4.3990072887323945,31
10.0,4.174011256578948,32
0.0,4.174011256578948,32
12.0,3.9082855121951217,34
0.0,3.9082855121951217,34
22.0,3.519898064516129,36
6.0,3.428294140625,37
0.0,3.428294140625,37
32.0,3.0213222053571425,39
15.0,3.036141841004184,40
26.0,3.1318397924528303,42
19.0,3.43024663028169,45
29.0,4.567613086261981,47
22.0,4.4147585820895525,49
0.0,4.4147585820895525,49
10.0,4.294736828985507,51
10.0,4.1999616112676055,51
16.0,4.03429628032345,54
22.0,3.8416759999999996,57
10.0,3.760780230769231,57
16.0,3.72484499522673,59
21.0,3.6586963068181815,62
11.0,3.575443725055432,62
22.0,3.440007042283298,65
10.0,3.374964542443064,65
10.0,3.3235379614604463,68
16.0,3.5803789135559922,68
5.0,3.5496868696498054,69
4.0,3.669483731660231,69
