throughput,latency,threads
69.95,135.3890814742475,120
166.95,92.80531240028961,120
776.45,40.17607121142744,120
275.95,40.98107755710009,163
1212.8,25.670765168682674,163
478.9,30.62714060117923,163
180.15,34.44110319921468,163
121.95,75.42353999462435,163
169.7,118.31692332746925,163
97.7,128.81299344734137,163
163.85,132.0974684855881,163
105.8,166.1438617638492,163
66.05,201.78365119690199,148
129.0,245.2991408818348,148
91.85,271.44971373551107,148
76.6,308.92992112426333,148
123.0,355.24869482415505,148
115.8,347.1945788203868,148
63.25,397.98845069339075,144
92.35,483.72778845291725,144
85.8,503.83331371209607,144
115.55,369.6441498116905,200
807.4,106.4678986935316,200
330.9,87.89771363089683,200
186.15,106.91766861149911,200
68.45,216.5441669998292,200
61.35,391.6387429605513,200
38.65,659.2294635513433,156
59.7,650.8362824978083,156
47.5,810.8505772653411,156
65.2,710.9144212773084,156
110.35,561.2036775297018,156
46.55,599.5287543223773,156
36.7,424.5640974904442,150
73.8,598.280177771092,150
55.0,595.7464357075529,150
