throughput,latency,threads
242.1,89.43914847568013,200
1822.3,27.174918956531215,200
1010.5,25.82581071059221,200
119.3,23.531264668562404,200
165.45,33.63111257386736,200
160.75,80.80651199416386,200
95.6,135.2342597916074,129
189.2,179.76857586910936,129
144.6,191.14394698952023,129
47.2,219.01469387598425,122
178.1,270.61448839253853,122
191.55,326.00738707424733,122
323.85,242.0774882044159,132
1832.05,67.59151251721197,186
1023.5,40.043253928681516,194
25.7,32.70894337930854,194
127.45,65.4781893356843,194
61.7,382.8976168429137,194
31.25,464.07375726835386,153
62.2,680.914321781824,153
69.4,631.458285148296,153
45.6,454.7757869221439,144
84.1,438.60482893872427,144
86.85,418.79932126737475,144
26.4,623.463323410623,135
54.3,829.5435210164129,135
87.65,991.9345483424413,135
27.5,928.3301548964296,134
48.25,888.7208552616279,132
16.5,1745.887889004336,130
11.5,2463.856268335082,121
47.85,2641.916125669743,121
13.0,2683.277478268141,121
47.05,1928.8768832747915,116
78.5,1613.473961600505,116
79.85,1196.7761165895813,116
