throughput,latency,threads
1233.05,2.887922078866272,87
1245.7,2.486725246747483,87
1241.35,2.3933165086288004,87
1247.3,2.2641150295739685,137
1271.65,2.310044356896345,137
1256.8,2.4411398093236074,137
1182.75,2.5595962450877194,187
1274.75,2.530519908503521,187
1281.35,2.5083276313308516,187
1170.4,2.386926512458338,237
1193.3,2.6607468977296165,237
1251.55,2.6255289942484925,237
1177.75,2.785828230710677,111
1259.1,2.6571790636972072,111
1298.7,2.568355344057481,111
1189.35,2.5046681039725094,168
1265.2,2.4948693729433273,169
1212.9,2.6743144992015506,186
1190.7,2.6476033420635567,158
1259.75,2.8529448605229364,158
1262.6,2.6841409694439196,158
1188.7,2.5704797803864983,208
1267.0,2.1470319092011643,208
1280.15,2.0725201975543954,208
1191.25,2.044580548158374,258
1232.05,2.4109721965994484,258
1238.65,2.5522816891226436,258
1174.85,2.6273160316836583,109
1277.15,2.3943363804105795,109
1222.65,2.625019997409503,109
1187.55,2.759450524401354,125
1219.05,3.005456984331134,125
1251.0,2.631782927921748,125
1259.5,2.328175744043054,175
1236.3,2.011596068855394,175
1263.7,2.160006298030378,175
1205.35,2.182422749249899,225
1245.4,2.213109073396226,225
1239.15,2.320352790147075,225
1178.75,2.4673728798915944,216
1263.9,2.5034482582037527,216
1221.85,2.4388132719668705,216
1207.55,2.452992271994036,169
1220.85,2.364745493565294,169
1271.3,2.2475738863368586,169
1299.5,2.1380979928658244,195
1274.65,2.3054166200281316,211
1310.8,2.301185305445436,213
1244.7,2.4827505217870063,263
1256.65,2.460420917770906,263
1234.75,2.5056232589781415,263
1172.95,2.502980998688507,269
1267.05,2.3742229799397236,269
1261.4,2.267643514912637,269
1208.4,2.1092055361250366,306
1182.15,2.2490928772786503,306
1247.75,2.444071271582659,306
1178.7,2.6411041957909043,25
1255.0,2.4571476911586654,25
1285.05,2.3215037456930805,25
1225.35,2.239748075397142,75
1251.2,2.2986950097069276,75
1230.35,2.300073431783459,75
1228.45,2.3916240380750424,125
1233.85,2.402857815850879,125
1261.75,2.4725938769361084,125
1176.85,2.4524287005241034,175
1223.25,2.615327729690919,175
1235.15,2.6465894553141096,175
1233.45,2.514184859213363,225
1248.35,2.3429766972301556,225
1221.4,2.2453921023795673,225
1258.95,2.3919386245634304,275
1243.2,2.496295219078611,275
1279.85,2.4262294059175353,275
1160.85,2.2901897300275857,325
1241.65,2.3563718295216596,325
1273.9,2.5896869101775213,325
1244.1,2.7924245539391195,330
1245.9,2.624208858275046,330
1241.55,2.4850165818150103,330
1213.55,2.277578716913505,380
1212.55,2.442106745841868,380
1266.25,2.5271830251814666,380
1207.8,2.75720314180939,417
1232.5,2.7146074895589765,417
1249.95,2.5966845189511094,417
1210.55,2.3839980876084597,440
1299.8,2.223404622436751,440
1197.9,2.450644838461538,440
1201.95,2.964067307749567,353
1273.65,3.2125550942827528,353
1260.05,2.902029466416359,353
1181.55,2.5200654745534212,289
1226.65,2.3509723536185554,289
1137.55,2.624361311594203,289
