throughput,latency,threads
493.5,2.065443050253293,84
1238.95,2.1808050384415583,84
1235.25,2.3732443885201158,84
436.75,2.4509560263094374,130
1252.25,2.689132623334361,130
1042.5,2.929831699231432,162
431.45,2.852454180495066,208
1213.7,2.8062202129543334,208
1033.0,2.3699152514782935,239
380.0,2.3058141483448265,262
1242.85,2.1795560711725646,262
1094.4,2.313916300763246,262
373.25,2.3849559834848146,308
1218.1,2.4917862092154888,308
1070.15,2.418658229212212,334
455.55,2.4280214019219177,369
1100.15,2.307612381899847,384
1085.4,2.3321384141603767,411
402.9,2.365385778504908,489
1215.35,2.482726066756937,489
1256.0,2.443392884036748,489
457.65,2.3469501237979533,480
1215.25,2.297118819751735,480
1108.05,2.332467189414288,480
359.95,2.3903542545066543,372
1242.85,2.972818300049814,372
1273.55,2.9045919023732,372
276.8,2.9536243601314465,53
1260.1,2.452956561419781,53
1220.85,2.4459852709462657,53
1033.25,2.3633108431607304,102
987.45,2.2045105654891763,107
905.8,2.579634094527959,170
403.5,2.9501312933578125,216
1255.45,3.220766753294604,216
916.25,3.0321042247951895,238
