IRR,Request Count,Mean Latency (for window),99th Latency
0.0,75103,2.4137974697815,68.08898939999978
0.0,148892,2.4871973958347504,72.28681130999998
0.0,221364,2.3777330457565187,63.95053533999952
0.0,296093,2.88161108492569,69.79554592000035
0.0,370198,2.514070842970736,76.6307888200003
0.0,444535,2.3874905071333123,68.18911232000015
0.0,519179,2.299085690907869,61.0420162000002
0.0,591344,2.4630277141666084,72.10921052000097
0.0,665965,2.4806871253514116,64.31896955000003
0.0,741180,2.258430402282758,64.82604473999903
0.0,814988,2.1370967894014723,59.40247075999993
0.0,887802,2.481415958779215,64.96892459999997
