Case,Average Throughput (req/seq),Mean Latency (ms)
browsing_100_default,1326.8027777777781,1.0254634345674212
browsing_100_default_long,1246.4109375,2.4543784745603543
browsing_100_tuning_both,1305.1611111111115,1.3918634995560883
browsing_100_tuning_both_long,1234.5911458333333,2.472285771742809
browsing_100_tuning_both_long_slow_tuning,1236.6635416666666,2.4364966568603754
browsing_100_tuning_both_prefork,921.8944444444444,2.5172025249307888
ordering_100_default,809.9111111111113,40.92459858451598
ordering_100_tuning_both,1236.1986111111116,2.5468607093411197
shopping_100_default,1240.3277777777782,2.3825705795297734
shopping_100_tuning_both,1232.0583333333334,2.439169810037799
