throughput,latency,threads
4.95,23.767473684210525,25
3.25,20.288914065656563,25
536.95,75.35719018242685,200
2782.3,30.08187993292903,200
2035.75,27.62307107519,200
1331.2,20.454628029982103,200
800.05,19.468068768359668,200
525.5,16.271478785990748,200
367.4,24.615541015328272,200
271.3,35.05747806109726,200
176.5,59.79664728587354,200
0.05,70.64751186575832,200
22.25,143.7524661003521,200
11.05,604.6219513973012,200
107.8,304.9826698398299,200
26.8,231.71296085478886,200
45.95,226.02294957020217,200
75.7,175.634074844354,200
3.2,409.9521334849819,200
0.1,724.7241834632912,200
0.05,14713.749703298507,200
0.7,30923.242576235294,200
0.05,23198.31055025,200
0.1,24153.58714864706,200
0.05,89574.51545174999,200
2.9,7619.9260167213115,200
0.2,14091.580163777779,200
0.9,11281.7499153625,200
0.55,16831.60850530303,200
0.2,18347.029203636364,200
0.1,35551.38114482353,200
1.75,27361.636794243903,200
0.15,15233.890070299998,200
1.1,29309.779494266666,200
0.05,46234.93048515385,200
0.95,30779.818132904762,200
0.9,20794.483277631578,200
0.35,32994.389664227274,200
0.1,56201.01415685185,200
2.65,25040.87300612903,200
0.95,21564.74955859459,200
0.05,29767.875568342464,200
0.5,74312.18432543334,200
0.65,94330.45548708332,200
0.3,81166.84346551725,200
0.65,75972.3800223125,200
2.7,23355.61841116438,200
0.25,12416.8729205,200
0.3,14457.045923,200
0.4,96893.63381142105,200
0.8,90286.04890153333,200
0.6,80378.7496455,200
2.7,26804.273008817072,200
0.95,27239.505327435294,200
0.8,14247.26171107865,200
0.55,44891.74588391304,200
2.95,25264.808637581395,200
0.75,37459.67161965882,200
2.4,26465.44472963934,200
1.65,22767.93035959375,200
0.25,13960.892422267441,200
0.7,25680.161569,200
0.05,110643.9320973,200
3.95,35742.080955861704,200
0.4,38490.722111386356,200
0.15,43441.84701976667,200
