throughput,latency,threads
4.0,111.66531294680851,25
3.65,119.47593506586826,25
165.15,133.9664183900463,185
199.75,112.12964030823497,200
59.05,150.65771850064863,200
45.85,285.64746140236684,200
2.35,679.9430824391608,200
2.7,1142.1726176773548,200
9.45,1618.8599484655172,200
0.4,1555.8358515896412,200
0.6,1287.0322192392343,200
6.7,4501.879869577921,200
4.3,5135.79597037931,200
0.8,5889.078180309322,200
1.35,5942.791901294573,200
13.15,3821.035872323529,200
0.2,3990.515665408163,200
0.95,5314.176583863636,200
0.05,26879.62453258333,200
1.0,19663.971808,200
0.4,25916.89293489655,200
0.05,36073.89067275862,200
2.05,22024.01550644,200
1.5,16813.07440538889,200
0.35,17643.392184487177,200
0.1,27393.44723394872,200
0.1,95202.30799372727,200
0.3,105039.3654986,200
0.6,48654.3522577,200
0.2,51600.38569827272,200
0.05,66592.16049958824,200
0.4,129134.1053286923,200
0.05,122523.64356989998,200
0.3,50116.946091666665,200
0.35,12820.0316675,200
0.2,42424.23585529412,200
2.0,27291.595456686275,200
0.05,30926.752685266663,200
0.5,14407.95789727451,200
0.25,3253.3799674375,200
0.1,8383.000928882353,200
0.5,18176.935964117645,200
0.25,18907.782849411764,200
0.05,14449.038587,200
0.1,25784.877275374998,200
0.35,20617.9901239,200
0.65,9342.71123359091,200
0.25,2496.5019701999995,200
0.2,2245.3176088181817,200
1.05,2061.7037180666666,200
1.25,1247.21890104,200
0.75,10034.583213639346,200
0.35,34342.16328423404,200
0.05,69639.84408652174,200
0.45,64849.65025664705,200
0.55,4806.369309333333,200
0.25,47209.46411523999,200
1.25,28186.57768514634,200
0.25,33397.58493914286,200
0.6,3060.3318201190473,200
0.35,4301.515716291667,200
0.4,45035.730766925924,200
0.05,143762.3638936875,200
0.5,121718.28642936843,200
0.3,140487.62436205882,200
0.95,40150.252040314284,200
