throughput,latency,threads
89.7,38.854869227444624,178
463.15,24.700648782855083,178
700.15,26.18656546660016,178
8.9,30.460707911223924,130
0.15,50.471477896121385,127
0.2,5225.888931008695,123
0.15,76192.4864575,120
0.15,92278.3118208,117
0.1,110686.379225625,115
0.15,135018.499935125,112
0.15,154871.74056849998,109
0.15,180178.23618066666,106
193.65,472.8503552900232,178
760.15,96.94929225268619,178
606.95,56.92778823616851,178
386.05,48.00855881894062,178
303.1,57.02199821025343,178
249.45,53.53766312251549,178
221.35,40.14190656657608,177
219.95,34.343105986001305,177
186.4,80.97064621109338,177
162.85,89.0234221012825,178
156.5,136.22302974567046,178
108.2,120.13333058813876,178
105.15,163.54538078841205,178
91.7,111.99462233984566,178
82.25,207.28193991412144,178
45.4,409.40472203943466,178
47.2,817.1840549891335,178
47.9,1014.955702936299,178
50.6,925.8321859327385,178
52.25,762.4199662441127,178
59.2,704.4519148842236,178
69.35,600.7766597228982,178
65.15,554.6872010767237,178
68.9,680.3524735335968,178
