throughput,latency,threads
10.05,31.528639076666668,25
6.45,29.808048505827504,25
657.6,62.70748199636552,200
2692.4,26.47798078792212,200
1319.0,22.686344471182263,200
93.85,20.0821133972502,200
29.8,28.74293763838894,200
30.95,189.30419548091848,200
20.9,240.97246910410286,200
37.75,300.4295326049107,200
151.25,340.38640176584084,200
68.3,289.23136229556934,200
20.65,363.9948711845413,200
132.3,447.46662538562384,200
17.2,647.8698681942403,200
20.65,555.9466909853071,200
98.35,763.0294264196034,200
104.3,517.6717167207793,200
0.1,678.6740318036991,200
1.65,916.2061030928807,200
0.15,33876.40847576316,200
0.15,17449.6123505641,200
0.05,10897.449232285715,200
0.1,21273.517302166667,200
0.05,28780.55117875,200
1.95,23633.49249378571,200
0.8,17020.133000035716,200
1.5,35367.12581015294,200
1.4,38519.809249716214,200
0.1,51881.46588336667,200
0.15,42460.259564272725,200
0.85,33241.62592390909,200
1.85,8951.358794561404,200
0.1,3252.3429440714285,200
1.75,9836.148853027027,200
0.05,19509.017237736844,200
0.2,23408.929598400002,200
1.1,18393.615440814814,200
0.7,22348.22090855,200
0.15,20254.912321179483,200
0.85,22440.185840323527,200
1.65,5914.877322132075,200
0.6,3438.8115503870968,200
0.3,17666.434704352938,200
0.2,39136.4403245,200
0.6,39564.84442313636,200
0.6,31545.173254499998,200
0.4,55042.9445128125,200
1.45,40170.893107367345,200
0.1,29818.96385384615,200
0.2,34738.179056685716,200
0.45,66402.55747126667,200
0.15,122905.886916625,200
0.8,36989.47237389286,200
0.9,70680.2322591081,200
0.55,35990.23172235555,200
0.3,92691.00526482856,200
0.15,83219.92747735001,200
0.35,171490.6426799375,200
1.7,26656.149776545455,200
0.3,31375.889913148934,200
0.05,12199.421109560975,200
1.4,13882.13911882857,200
0.1,11898.522820870967,200
1.75,23436.69895793846,200
0.75,33086.09107632692,200
