throughput,latency,threads
1124.35,2.508118724709858,166
1990.4,1.6807774213105642,166
2006.45,1.4871882123575284,166
1972.5,1.5603527140643652,166
2006.15,2.1009742982499873,166
1884.8,3.9396986330514334,166
1673.85,5.924306361840924,166
1057.25,11.534718473686699,166
1295.25,6.277337149930372,166
807.85,11.315580797416468,166
815.9,16.954231464960312,166
742.2,12.07571920949683,166
708.9,17.631372337424178,166
501.55,26.079745015948962,166
610.65,26.33703985864563,166
564.25,14.369355466666667,166
472.85,18.735680351285577,166
446.5,23.917407598341363,166
339.95,16.319531047675103,166
355.35,12.556123135378552,166
254.9,438.14701610053015,166
246.55,756.4207760330578,166
202.8,1456.2838375433382,178
198.8,998.9919132293762,191
76.95,2611.1220962041884,200
1.15,113832.34704347825,200
1.25,95388.89155999999,200
0.6,241575.41674999997,200
0.3,259485.61033333334,200
0.4,252296.36875,200
0.25,259738.76239999998,200
0.4,276318.584125,200
0.15,240872.251,200
1.1,184513.43354545455,200
0.15,258351.31399999998,200
0.7,276921.80485714285,200
0.8,293817.69399999996,200
1.05,286632.29785,200
1.05,268167.04723809526,200
1.0,192279.25785,200
0.2,288689.44875,200
0.2,295247.64749999996,200
0.65,179329.8536153846,200
1.2,140467.16237499999,200
1.45,144535.31427586207,200
0.85,108098.42117647058,200
1.0,169123.38185,200
0.55,111667.15181818182,200
2.25,191165.31248888889,200
1.45,99956.22220689653,200
1.8,145235.09011111112,200
3.05,123765.10213333332,200
2.55,68695.37023529412,200
1.7,66409.97211764705,200
2.25,69238.30660465117,200
2.55,55806.88056862745,200
2.7,38021.45183333333,200
3.7,39698.51705405405,200
7.4,31680.289858108106,200
5.3,18008.48709433962,200
5.55,36079.23505405405,200
3.4,25774.756838235295,200
5.0,28548.30044,200
4.05,42052.95228395061,200
4.45,32285.143685393257,200
3.5,37710.57112857143,200
5.25,31972.98511428571,200
3.35,29878.70171641791,200
3.5,46197.7653,200
3.9,37788.81069230769,200
3.95,36329.39237974683,200
3.65,41956.30390410958,200
3.4,38652.73642647059,200
1.95,45242.1811025641,200
2.75,52999.74532727273,200
3.2,53744.431375,200
3.75,26669.71932,200
3.4,35579.41660294118,200
3.7,57595.610162162164,200
3.7,80843.72416438356,200
3.4,41419.09830434782,200
3.85,42235.3187631579,200
2.6,52341.9595,200
3.25,41901.72115384615,200
4.05,37004.0692125,200
5.95,29869.483663865547,200
5.75,28576.882982608695,200
3.4,35871.737588235286,200
3.95,39705.754151898735,200
4.4,32957.943306818175,200
4.9,32443.72684693877,200
4.6,30545.778576086956,200
4.0,25837.609860759494,200
4.2,41684.22647619047,200
4.1,34255.91997560975,200
5.05,35649.41307920792,200
5.8,30006.94289655172,200
4.25,27877.87734117647,200
3.45,37073.093565217394,200
3.1,52121.001790322574,200
2.45,44816.87159183673,200
3.0,43219.98978333333,200
3.8,48400.461960526314,200
4.55,31121.14803296703,200
5.7,26730.6909122807,200
4.65,29902.161139784945,200
4.2,48574.70639285714,200
4.15,37179.120707317066,200
4.15,36391.3091686747,200
4.85,29750.213824742266,200
4.3,26791.844174418606,200
3.5,46706.0881,200
3.6,35755.580126760564,200
5.0,29537.680969999998,200
4.45,34792.41996629214,200
3.7,35394.842405405405,200
5.9,33966.414508474576,200
4.2,36129.55064285714,200
2.75,31247.746927272725,200
4.8,47935.0243125,200
4.7,34273.07451612903,200
3.75,26221.143813333332,200
4.5,43950.78436666666,200
3.8,31638.74284210526,200
4.75,25387.75256842105,200
4.05,38568.350419753086,200
5.25,32576.166685714285,200
6.2,28725.14087096774,200
5.55,25758.82863963964,200
4.3,39338.21203488372,200
4.3,32524.584499999997,200
2.65,44808.108735849055,200
3.5,47779.345742857135,200
5.35,25798.150439252335,200
4.45,30480.632033707865,200
4.0,39048.254125,200
4.5,39750.28012222222,200
4.85,28484.16956701031,200
6.5,22763.77326923077,200
5.5,30394.229654545456,200
3.2,40962.027953125,200
3.1,34488.31464516129,200
3.65,45782.175794520546,200
6.0,24977.843848739492,200
4.1,31328.592609756095,200
4.0,36003.710387499996,200
5.2,29663.750615384615,200
4.7,37091.991255319146,200
4.65,33407.92310752688,200
2.7,43512.48529629629,200
3.8,58844.162605263155,200
4.1,36265.41191463415,200
3.5,34262.0657,200
6.7,26188.008552238807,200
5.9,27822.27429661017,200
6.35,19236.52627559055,200
3.55,43167.68201408451,200
4.8,31089.83065625,200
4.35,29704.98216091954,200
3.2,46153.860187499995,200
4.4,34108.058806818175,200
6.3,32230.39711904762,200
4.0,33342.301062499995,200
3.2,43691.81271875,200
5.4,32704.870694444442,200
3.15,29721.728968253967,200
4.15,29408.537662650604,200
4.9,36883.46193877551,200
4.55,26084.11681318681,200
5.4,31765.797342592592,200
4.05,35309.80227160493,200
4.3,35891.856546511626,200
4.4,39623.318999999996,200
4.55,33704.96545054945,200
4.1,35641.52995121951,200
3.2,37840.021875,200
5.1,30020.68418627451,200
5.45,31470.0605412844,200
4.4,31798.221670454543,200
5.05,27288.923584158416,200
4.0,41007.175645569616,200
4.15,29694.753867469877,200
4.65,38565.651720430105,200
4.2,37021.435273809526,200
4.15,35415.36118072289,200
3.15,29169.42203174603,200
