throughput,latency,threads
372.15,3.3042057204243314,178
2034.0,1.6682968853871722,178
1977.5,2.2850601658172964,178
582.45,1.7748606776446245,20
1979.4,1.7892404592701248,20
1747.35,1.4934135086362463,20
77.0,1.4443439226519337,75
32.9,3.3904899536321484,75
26.3,1.4318136882129275,75
252.2,1.3681567267683772,90
1880.75,1.6240309590935689,90
1980.25,1.7024446863449951,90
206.4,3.212335954780044,400
10.85,4.197046082949308,400
18.95,1.7734179894179893,400
15.4,1.039564935064935,20
87.2,1.523315366972477,20
44.35,1.7257192784667417,20
33.75,1.6107130177514792,400
1789.95,1.4552830520786768,400
2013.45,1.8972743712842963,400
517.55,2.5083964732099604,81
17.25,2.3974666666666664,81
18.85,2.4260053050397876,81
9.65,1.2475336787564766,159
29.35,2.361289608177172,250
12.95,1.3868725868725869,250
22.45,5.72271714922049,20
1655.9,1.7648575828024515,20
1594.55,1.7083332809356135,20
920.2,1.4978858591917978,310
47.65,1.8084795383001049,310
22.1,1.2139140271493212,310
9.25,3.843481081081081,285
68.35,2.350680321872714,285
70.75,2.25793851590106,285
36.5,2.270905479452055,166
23.4,1.6949978632478633,166
8.5,1.9124431137724551,166
20.7,1.2835700483091788,192
13.6,1.356176470588235,400
12.95,2.1443204633204633,400
5.1,1.4500392156862745,321
17.0,1.6094970588235293,321
9.1,1.4138681318681319,321
4.8,1.5931458333333333,238
8.6,1.3578953488372094,238
10.6,3.3424976525821597,238
10.7,1.4211032863849764,102
8.9,1.7524775280898877,102
11.8,1.6647161016949152,102
6.55,1.4336412213740457,105
12.45,1.296124497991968,352
22.25,1.3673280898876403,352
29.95,1.9997395659432387,20
10.4,1.4789567307692306,20
59.25,1.8024827004219408,20
66.0,1.6229742424242424,20
29.9,2.2961688963210705,285
12.4,1.4466935483870966,285
16.2,1.4722870370370371,285
2.2,1.6441590909090908,209
27.9,2.4176075268817203,209
16.2,1.4275216049382715,209
16.95,1.5932713864306784,291
13.45,1.3454664179104479,354
37.15,1.4274629878869447,354
3.1,1.3025,125
16.3,1.7608006134969323,125
8.65,1.933173410404624,125
10.25,1.5581073170731707,256
11.9,1.1847563025210082,265
36.95,2.1160257801899593,265
10.1,1.6899455445544553,160
15.65,2.1905303514376993,160
16.05,1.8867289719626168,160
19.45,3.5326246786632387,190
12.35,1.559668016194332,190
27.7,1.3824007220216605,190
4.2,1.4649166666666666,70
25.85,1.8332340425531914,70
11.8,1.4632627118644066,70
17.2,3.8034331395348837,75
21.25,1.6485858823529411,400
16.3,4.032435582822085,400
22.1,2.4573552036199096,400
34.55,1.4005441389290882,400
19.75,1.7603161953727506,400
7.7,1.3223181818181817,216
15.3,1.4266470588235294,216
6.85,1.7305839416058393,216
12.45,1.4426626506024096,153
7.95,1.4808930817610062,153
17.25,1.5014811594202897,153
10.5,3.2731952380952376,153
10.75,1.4000837209302326,322
8.1,1.9498827160493826,322
35.05,1.449912981455064,322
5.55,1.510810810810811,231
11.4,1.5577412280701755,231
12.65,2.8568814229249013,231
11.65,1.3938384279475982,186
7.45,1.523664429530201,186
8.1,1.3191296296296295,186
4.65,6.728279569892473,52
11.15,1.3078385650224216,52
13.6,1.6275919117647057,52
10.1,1.1947326732673267,229
31.05,2.2345684380032207,283
27.55,1.4544210526315788,283
8.3,1.4248433734939758,311
20.9,1.7557019230769229,311
22.55,2.6034257206208427,311
7.05,2.2828652482269502,87
39.05,1.4580935897435896,87
36.6,1.6921652892561982,87
8.65,2.3899479768786125,217
13.35,1.8917340823970035,250
18.65,1.594455764075067,250
20.1,1.2626268656716417,307
51.45,2.2671467444120506,307
9.05,2.0825193370165747,307
2.95,1.5792372881355932,308
14.8,1.9652533783783783,308
10.5,1.2244619047619048,308
9.5,1.6541894736842104,247
9.9,1.4490454545454545,247
10.85,1.816668202764977,247
5.55,5.034243243243243,78
10.7,1.4740985915492957,78
20.4,1.7136805896805896,78
6.1,3.208622950819672,83
8.0,1.393625,83
11.9,1.5662899159663863,83
7.65,1.6666143790849672,83
12.8,3.55606640625,83
14.5,1.4876896551724137,83
8.95,1.4986312849162011,103
15.15,1.2809537953795378,283
15.95,1.6660501567398118,283
7.8,1.3974551282051282,286
14.7,4.207482993197279,286
10.0,1.4210399999999999,286
7.75,2.624483870967742,280
8.8,1.5604602272727273,280
13.4,1.5218992537313432,280
12.3,1.77180081300813,170
21.8,1.6087454128440366,170
12.35,4.729048582995951,170
8.0,1.61691875,167
7.45,3.224006711409396,167
28.25,2.3785575221238937,167
17.3,1.651208092485549,170
10.55,6.366327014218009,205
19.35,1.4221227154046998,205
25.5,2.9638784313725486,210
7.9,4.665147435897436,212
9.75,1.6840159574468083,212
26.65,1.6065440900562853,212
16.0,2.864240625,397
11.3,1.6107920353982301,397
24.25,3.412740206185567,397
3.45,1.3850289855072462,399
9.95,3.899366834170854,399
14.9,1.386456375838926,191
4.95,1.2066262626262625,191
20.0,2.2111549999999998,191
18.75,1.4753093333333331,191
6.35,1.3580866141732284,187
37.95,1.318675033025099,187
12.75,1.7800392156862743,187
6.35,8.682629921259842,194
9.95,1.427938775510204,194
27.25,2.061183486238532,194
7.65,1.5605620915032679,163
8.9,2.282191011235955,163
8.45,3.579343195266272,163
12.95,1.6178494208494207,282
8.5,1.4547705882352941,282
23.6,2.283565217391304,282
4.95,1.2809696969696969,214
54.2,2.955390221402214,214
12.2,1.5706516393442622,214
5.2,1.486576923076923,219
12.7,3.290586614173228,219
7.45,1.449986577181208,219
