throughput,latency,threads
1173.95,4.851750170357751,157
1680.1,4.830747910946639,157
1258.6,5.88831976582102,157
688.5,20.04536252099613,157
823.45,9.923928845101258,157
602.6,21.741239733444395,157
403.35,8.527631657355679,157
307.45,40.5361883444571,157
348.35,33.85555030859768,157
237.9,9.223005265374894,157
203.25,18.014833498023712,157
166.95,81.74488222891566,157
157.35,90.17210997768568,157
140.05,117.11118957515173,157
163.45,99.76065983481186,157
164.4,90.72350881995133,157
124.1,3009.8121804207117,164
102.1,3117.69035798237,193
65.95,4684.233558756633,200
1.45,234263.924,200
0.9,206110.63894444445,200
0.95,154132.38763157895,200
0.35,273224.3097142857,200
0.3,230011.66466666665,200
0.25,300094.49439999997,200
0.15,242934.29866666664,200
0.2,262846.56025,200
0.3,277605.03366666666,200
0.1,181257.394,200
0.1,199997.794,200
0.2,289402.96325,200
1.55,265721.92353333335,200
1.15,258946.2037826087,200
1.3,252676.07842307692,200
0.75,200063.89539999998,200
0.7,300096.5397142857,200
1.15,226358.30826086955,200
1.35,151587.9924074074,200
1.45,127281.03389655171,200
1.7,80538.97244117646,200
1.9,79878.60728947367,200
1.85,74094.13251351351,200
1.8,102783.41752777777,200
2.55,52483.64801960784,200
2.3,54452.005021739125,200
2.55,73118.18098039215,200
4.0,118944.176375,200
2.5,33621.085999999996,200
1.95,54628.88407692308,200
2.05,65304.19570731707,200
2.5,48846.945374999996,200
2.7,44585.70022222222,200
3.75,51867.58136,200
7.1,22280.54090140845,200
6.45,26460.409736434107,200
7.0,23141.820499999998,200
3.15,34777.585666666666,200
3.05,42668.76998360656,200
2.3,57977.872021739124,200
2.75,42170.03763636364,200
4.4,46856.40715909091,200
3.3,22073.046,200
4.35,38715.650367816095,200
3.65,36479.22915068493,200
3.3,50198.634318181816,200
3.1,81060.00798387096,200
3.0,48345.679533333336,200
3.15,31616.704786885246,200
3.6,38398.00077777778,200
5.2,44281.15675961538,200
4.5,22542.17816666667,200
5.55,34702.23478378378,200
4.5,33444.712666666666,200
4.3,35344.68658139535,200
2.35,28941.62710638298,200
2.75,61497.410690909084,200
3.6,45914.93352777778,200
5.4,27405.74074074074,200
5.3,28361.72117924528,200
3.55,31732.409014084507,200
4.45,37309.15982022471,200
3.75,36899.82958666666,200
4.05,38619.807555555555,200
3.7,54652.87027027027,200
3.6,49875.81275,200
3.65,35424.39432876712,200
3.7,38415.11602702702,200
4.55,35829.392230769234,200
4.6,39420.43666304348,200
3.8,20352.864131578946,200
4.15,39325.98575903615,200
4.65,32502.55398924731,200
4.6,35967.338967391304,200
3.85,33202.511736842105,200
3.75,41669.89925333334,200
3.85,40098.66138961039,200
4.15,27833.094506024096,200
4.6,38823.84541304348,200
4.95,24255.244313131312,200
5.3,33331.467660377355,200
5.35,24794.953028301887,200
5.25,32471.461554455444,200
6.05,31276.038057851238,200
3.35,31464.403746268657,200
5.0,34549.74179,200
4.45,38904.598,200
5.05,31578.923643564358,200
5.25,27036.197490384617,200
3.5,40892.19202857142,200
3.35,31353.90968181818,200
3.4,41613.54970588235,200
3.2,49373.289109375,200
6.25,28761.377583999998,200
4.75,37407.13629473684,200
4.15,28760.603506024097,200
4.9,26046.32634693877,200
3.9,34121.06566666667,200
3.35,38383.84523880597,200
4.65,42954.34225806451,200
4.15,24274.60913253012,200
4.95,37110.088454545454,200
3.85,29315.690077922074,200
3.6,55129.056513888885,200
4.65,37482.42202150538,200
4.9,27786.677479591835,200
3.15,35893.58731746032,200
3.05,52035.74426229508,200
4.65,44749.45355913979,200
4.8,28743.298375,200
4.2,32513.53519047619,200
3.15,39804.093920634914,200
4.4,30423.95369318182,200
4.2,33191.03701190476,200
4.95,34146.74504040404,200
6.95,25447.49706976744,200
5.0,31211.25377,200
4.35,33377.54336781609,200
5.55,34186.350054054055,200
3.9,35211.59157692308,200
2.8,35998.66580357143,200
3.7,43324.36028378378,200
3.8,36937.27469736842,200
4.5,35765.715988888885,200
7.7,25568.202883116883,200
4.45,26322.70440449438,200
4.75,33939.13181052631,200
3.6,48820.03229166666,200
3.1,38134.96017741936,200
3.9,30441.83987179487,200
6.1,31047.479188524587,200
5.55,24459.32381981982,200
5.45,29118.717238532106,200
3.8,27792.433355263154,200
5.05,34839.61635643565,200
5.4,28806.993907407406,200
5.25,29965.75622857143,200
3.9,27274.307192307693,200
3.4,52067.65255882353,200
3.55,34659.46529577465,200
3.95,49710.60063291139,200
3.25,43767.62181538461,200
3.4,34971.54193846154,200
3.8,43891.70098666666,200
4.8,36756.79873958333,200
4.3,27270.7793372093,200
4.75,33075.61859574468,200
4.65,41385.09020224719,200
3.85,38591.31279220779,200
3.4,37330.51897058823,200
4.35,39535.54727586207,200
4.85,30682.702969072165,200
6.4,23933.496390624998,200
5.25,28837.147019047618,200
4.3,33989.33245348837,200
2.7,31885.40398148148,200
4.4,41052.68048863636,200
3.6,41758.22915277778,200
3.85,32070.162710526318,200
4.4,42000.63475,200
5.1,26577.18087254902,200
5.2,24579.477317307694,200
3.7,47698.07708108107,200
2.9,44986.633655172416,200
3.25,51805.83713846154,200
3.6,38773.202277777775,200
6.1,30800.66126229508,200
