throughput,latency,threads
299.1,11.531698964249916,178
1638.85,5.911552937941149,178
898.1,6.570700753979335,178
9.8,874.2135034482758,65
0.25,51592.5764,60
0.25,75460.52279999999,55
456.45,323.2905562246797,75
415.15,45.798246103660745,75
145.8,110.13184156378601,75
18.2,2276.4443351648347,90
51.4,631.0130340466926,90
27.85,1507.696434470377,90
58.2,963.2286434707903,178
72.4,703.2095234806629,178
727.25,98.43699216225505,178
74.0,1016.9175519835841,91
80.25,863.4381648969394,91
58.1,2242.931070567986,91
27.05,6867.3941682070235,91
29.6,2.695489864864865,91
17.15,1.9871516034985421,91
21.6,2.751333333333333,91
25.05,2.23973253493014,91
21.2,2.092995283018868,91
11.75,2.0123021276595745,75
30.65,2.075011419249592,75
19.65,2.4137041884816752,75
7.8,1.8812948717948716,90
29.3,1.898278156996587,90
23.5,3.367370212765957,90
7.9,2.074417721518987,90
34.25,2.917480291970803,90
15.25,2.3995704918032787,90
16.85,2.967047477744807,90
32.1,2.0900591900311527,90
17.7,3.0530310734463275,90
6.0,2.1702333333333335,90
24.25,2.24420206185567,90
23.0,4.203508695652173,90
9.1,2.343824175824176,91
55.25,2.963395475113122,91
33.55,2.9923233979135615,91
18.4,2.7458342391304345,90
41.35,3.623065934065934,90
20.85,4.585436450839328,90
24.35,3.786731006160164,178
36.85,2.3813989145183174,178
34.7,2.2756757925072044,178
8.75,2.792862857142857,91
50.6,2.682764822134387,91
21.35,2.466096018735363,91
17.75,1.8461380281690138,91
47.1,2.7385414012738853,91
27.45,2.306674588665448,91
12.4,3.5467943548387098,177
27.15,4.847791896869245,178
19.95,3.3780949999999996,178
18.6,2.2915765027322403,90
37.4,2.570080213903743,90
25.2,2.8488116232464926,90
17.7,3.6718194842406873,91
31.3,1.9489983999999998,91
24.85,3.4751106639839033,91
37.55,4.577106524633821,91
25.45,2.357413725490196,91
16.2,2.265263975155279,91
15.6,3.2247724358974357,91
33.3,2.126303303303303,91
69.0,2.4071579710144926,91
25.95,2.7229478764478765,119
24.45,3.9530593047034763,178
29.35,3.5803253833049404,178
46.5,2.561640860215054,90
29.45,3.650926994906621,90
35.1,2.7249415954415954,90
21.45,3.089957746478873,90
18.85,4.525763925729443,90
38.8,3.134042525773196,90
16.3,2.725453987730061,115
29.1,3.7447233676975946,178
40.45,1.9374128553770087,178
28.1,3.1503594306049822,91
33.95,2.1869248895434463,91
32.0,2.1366109375,91
12.15,2.8575555555555554,158
48.65,2.3713751284686535,178
33.6,3.40403125,178
30.4,4.470541118421052,178
26.15,1.8656156787762908,178
27.1,2.623669741697417,178
12.8,3.4611953124999997,91
13.95,4.448870967741935,91
19.15,3.8897859007832896,91
18.9,4.161259259259259,90
24.35,3.802340862422998,90
24.15,2.438149068322981,90
48.5,2.476744525547445,90
14.35,1.936369337979094,90
40.65,2.064360393603936,90
24.75,1.5200646464646466,91
28.3,2.8609010600706717,91
17.9,2.969203910614525,91
21.75,1.582919540229885,91
19.55,2.153762148337596,91
18.2,1.8063901098901098,91
21.95,2.414184510250569,90
11.0,1.6648590909090908,90
55.1,2.958209618874773,90
47.25,2.897148148148148,92
20.2,7.921601485148514,178
38.8,2.0800927835051546,178
13.45,2.3753308550185874,91
6.85,2.769919708029197,91
39.7,1.7564899244332493,91
32.45,3.3127149460708782,91
24.75,2.7457959595959593,91
26.3,2.560941064638783,91
26.7,2.8329400749063667,90
15.0,5.152586666666667,90
25.1,2.5120657370517927,90
24.8,3.5622318548387097,90
13.9,2.49681654676259,178
35.1,3.5219102564102562,178
42.2,2.7408127962085307,178
11.3,3.9451106194690264,91
43.65,1.900898052691867,91
44.2,2.981718325791855,91
38.7,3.504719638242894,90
37.45,3.2348471849865947,90
29.35,2.203281090289608,90
21.8,2.4564495412844036,178
49.25,3.2130710659898476,178
14.5,2.8736896551724134,178
21.85,2.0029133489461355,178
32.8,1.9202210365853658,178
35.6,3.324307692307692,178
17.55,1.9985213675213673,91
28.05,2.363254901960784,91
37.6,3.613050397877984,91
36.65,2.3335,90
13.7,4.216587591240876,90
18.8,3.477776595744681,90
18.3,2.563554644808743,90
18.9,2.5769947089947087,90
27.7,3.2527906137184113,90
18.2,3.9651483516483514,91
28.65,2.8408048780487802,91
41.45,2.9212113526570045,91
22.65,3.08462472406181,178
23.15,4.175475161987041,178
25.3,4.13294466403162,178
17.0,2.4203676470588236,91
54.1,2.393567867036011,91
28.95,2.394644599303136,91
8.75,5.519198830409356,172
38.7,2.6293514211886304,178
38.65,3.251063389391979,178
13.25,4.066822641509433,90
55.7,3.337802513464991,90
22.9,3.370325327510917,90
11.1,1.4363288288288287,90
26.95,2.364161410018553,90
42.25,2.34136449704142,90
7.7,7.696571428571428,90
31.8,5.010852201257861,90
21.0,2.567847619047619,90
12.65,2.145565217391304,90
39.25,2.7129159235668787,90
31.15,3.9669935794542535,90
22.25,2.520287640449438,90
36.85,4.631724559023066,90
23.55,4.18854,90
11.35,3.576295154185022,90
52.45,1.5947264061010487,90
23.4,3.030378205128205,90
24.1,4.174854771784232,91
51.4,2.710772373540856,91
27.8,2.3066888489208632,91
23.35,2.7923276231263383,100
46.15,3.618450704225352,178
40.2,3.16768407960199,178
19.9,2.7986231155778896,90
21.8,4.067435779816513,90
36.9,2.513550135501355,90
22.95,2.8903246187363836,91
29.3,2.5355375426621163,91
