IRR,Request Count,Mean Latency (for window),99th Latency
-1,1235,3143.0481927710844,65906.5
-1,2128,2091.5029585798816,42585.250000000044
-1,3706,1002.6798336798336,26330.320000000032
-1,4846,1415.565693430657,32382.25
-1,5721,2148.725663716814,55443.00000000001
-1,7024,1453.0026954177897,28314.159999999978
-1,8110,2997.098039215686,57957.43999999995
-1,9145,1635.0244988864142,41253.5
-1,10850,1637.1724137931035,29847.739999999976
-1,12206,2724.175704989154,120813.73999999948
-1,13080,2731.88064516129,65380.81999999988
-1,14479,1469.1584507042253,31575.049999999992
-1,15765,1224.85,25391.44999999999
-1,17064,2056.7444089456867,42185.64000000012
-1,18446,1982.0740181268882,42297.540000000066
-1,19456,1633.254385964912,30088.989999999958
-1,20834,1724.8445040214476,45963.91999999997
-1,22078,2001.5856697819313,36973.93999999989
-1,23275,3114.2771084337346,64969.0
-1,24263,1447.1635883905012,31611.39999999983
-1,25597,2257.5960365853657,40095.13999999986
-1,26626,1731.4106145251394,34637.64000000012
-1,28391,2676.190476190476,51801.08000000002
-1,29107,3486.8658536585363,73053.20999999999
-1,30236,918.7614503816794,25628.75
-1,31196,2678.162264150943,60906.859999999455
-1,32667,1331.555223880597,25763.679999999946
-1,34005,1759.921832884097,36710.91999999998
-1,35508,1895.1065292096218,43184.47999999992
-1,37076,406.5921288014311,14877.19999999992
