throughput,latency,threads
2.7,4790.86111111111,0
2.65,6814.383177570093,0
2.3,8154.0,0
2.4,6021.446808510638,0
2.95,7576.644859813084,0
3.7,11121.78947368421,0
1.9,15232.285714285714,0
3.2,15649.186274509802,0
3.4,10989.44696969697,0
3.25,14790.037593984962,0
2.95,17022.49193548387,0
2.85,11388.551724137931,0
3.05,11603.864406779661,0
2.55,12776.05357142857,0
2.55,17045.69607843137,0
2.4,19167.575757575756,0
2.3,13602.776595744679,0
3.75,10445.421487603306,0
3.5,10739.8,0
3.6,10137.345070422534,0
3.3,7747.123188405797,0
2.8,6046.959016393442,0
3.0,7965.939655172413,0
2.45,18480.398148148146,0
2.9,16814.14953271028,0
2.85,11119.130434782608,0
3.45,14015.61111111111,0
3.5,12821.143884892086,0
3.55,11432.00709219858,0
4.3,13044.108280254777,0
4.6,14140.606741573034,0
3.1,15663.116883116882,0
4.2,14365.664383561643,0
4.8,8686.35,0
3.6,8587.333333333332,0
4.3,8728.050632911392,0
3.3,7344.026315789473,0
3.7,8642.85,0
4.25,8590.503144654089,0
5.55,7416.683673469388,0
6.25,4515.453389830508,0
5.95,4232.651639344262,0
3.8,5920.7692307692305,0
3.65,6997.919463087247,0
4.1,7527.16129032258,0
4.4,5480.6882352941175,0
4.15,6643.877192982456,0
4.0,8349.331288343557,0
4.3,5160.734939759036,0
4.3,7426.453488372093,0
4.3,9528.68023255814,0
4.25,6591.508771929824,0
5.35,5956.375,0
6.45,4869.0893617021275,0
3.9,4885.845410628019,0
4.3,7148.298780487804,0
4.15,8074.171597633135,0
5.35,7922.521052631579,0
5.1,5023.01913875598,0
6.25,4304.753303964758,0
5.8,4380.294605809128,0
6.55,2521.080971659919,0
7.65,3045.6619718309857,0
7.35,3293.49,0
6.35,2553.5547445255474,0
8.4,2418.2305084745763,0
8.1,1886.3757575757575,0
7.55,1442.1629392971245,0
13.05,1386.3446601941746,0
17.9,4881.059773828756,0
9.95,13402.770197486534,0
3.45,18497.078358208953,0
3.55,2333.185714285714,0
6.9,2937.2583732057415,0
6.5,3192.7238805970146,0
8.55,2166.7807308970096,0
17.4,5217.2157996146425,0
20.55,3339.2226613965745,0
17.35,258.5778364116095,0
13.25,3515.1833060556464,0
5.8,7970.449086161879,0
9.8,4277.855305466238,0
8.6,4336.377717391304,0
4.0,18723.805555555555,0
12.15,14837.102167182662,0
8.85,7595.6261904761905,0
15.55,10114.016393442622,0
9.65,6357.561507936508,0
6.3,1106.278996865204,0
9.3,1904.8141025641025,0
12.55,1437.8443935926773,0
12.65,998.3650793650794,0
14.1,4986.147663551402,0
8.9,5822.726086956522,0
10.0,1274.4550264550264,0
17.8,5830.025179856115,0
5.7,7451.334042553191,0
6.05,5656.246808510638,0
6.45,4691.628,0
5.85,2228.6585365853657,0
7.0,2343.3229571984434,0
11.3,2088.469945355191,0
17.25,3312.9649737302975,0
8.45,4180.233463035019,0
8.2,2617.2792792792793,0
8.0,1488.4907407407406,0
14.65,4936.827814569536,0
6.9,9905.714617169375,0
4.65,10248.186147186147,0
6.0,2516.0610328638495,0
9.9,2351.0911949685533,0
18.45,3331.8712522045853,0
18.2,5916.856753069577,0
15.8,5602.920588235294,0
9.65,3295.0373280943027,0
16.95,4518.071428571428,0
9.6,5803.045197740113,0
12.45,5344.597727272727,0
10.1,2622.8758314855877,0
6.35,1220.5987841945287,0
13.35,3360.362944162436,0
20.9,1808.0364963503648,0
17.05,304.5612648221344,0
15.0,2568.4664586583463,0
18.85,3189.6617429837515,0
14.15,2764.2060606060604,0
16.25,5724.494252873563,0
12.6,6583.327556325822,0
11.7,6421.497942386831,0
7.75,4684.290488431876,0
11.4,1491.0890052356021,0
16.5,2188.9982078853045,0
9.15,3618.812865497076,0
7.75,6607.436201780415,0
9.7,4456.7191977077355,0
9.85,1192.404092071611,0
15.2,3108.2734530938123,0
15.6,8026.228896103896,0
9.75,7355.80473372781,0
11.55,982.6737089201878,0
13.1,5579.419878296146,0
8.95,6008.460317460317,0
8.1,1281.316715542522,0
14.65,1196.3934065934066,0
14.9,2498.9254237288137,0
7.35,3199.8202247191007,0
8.75,1557.4953560371519,0
11.8,1585.367396593674,0
15.3,2718.4048059149723,0
19.35,2795.5512265512266,0
13.15,3132.4184615384615,0
13.95,4231.424354243542,0
18.05,4044.5562499999996,0
11.6,2867.971332209106,0
16.0,1782.9510869565217,0
19.35,2570.25459688826,0
13.7,1760.6030303030302,0
16.5,2582.1076158940396,0
15.4,3919.387147335423,0
8.5,3328.28870292887,0
9.8,3449.5792349726776,0
21.15,1447.5395799676896,0
16.05,3034.2916666666665,0
12.2,3961.886725663717,0
14.4,597.8815789473683,0
9.25,898.5961945031712,0
8.45,1628.138418079096,0
7.4,1706.3280757097791,0
16.55,2235.5908141962423,0
20.3,2908.9864314789684,0
18.9,2876.122448979592,0
9.85,2024.3130434782606,0
8.5,1400.8692098092642,0
7.2,1519.5286624203823,0
6.55,1705.2472727272727,0
7.05,2743.0036764705883,0
7.8,2413.962962962963,0
5.55,1965.2808988764045,0
9.95,2056.3580645161287,0
2.6,1822.6972111553785,0
