throughput,latency,threads
2.8,4231.8490566037735,178
2.15,5080.252525252525,178
2.8,7235.171717171717,178
2.65,9098.954128440366,178
2.55,10014.40776699029,178
2.95,9542.327272727272,178
0.05,12362.066666666666,42
0.0,164094.0,35
0.0,0.0,27
8.25,34781.90909090909,20
9.15,21920.916666666668,20
4.35,9844.696296296297,20
13.75,6525.0,75
3.15,5051.84023668639,75
2.55,2346.654867256637,75
3.35,5428.186440677966,75
2.95,7101.232,75
2.65,7662.714285714285,75
2.4,10221.89108910891,90
2.4,9440.5,90
2.75,6817.388349514563,90
2.55,9641.64150943396,90
3.2,10303.252173913044,90
2.15,12012.233644859813,90
2.6,15521.084210526315,75
2.4,14829.65,75
2.2,10991.91304347826,75
2.65,13839.907216494843,75
2.6,21994.72380952381,75
2.95,18675.63063063063,75
3.1,11504.95867768595,91
2.25,14947.607476635512,91
2.35,30833.45054945055,91
3.15,31261.68181818182,91
2.75,24044.813559322032,91
3.7,13686.22480620155,91
0.2,8021.884615384614,42
5.5,28533.745614035088,39
3.05,26786.877192982454,39
2.65,21861.46017699115,39
3.6,11926.0,39
3.75,8175.591836734693,39
5.9,12620.160621761657,356
3.15,12043.497237569061,356
3.1,8774.104,356
2.8,7067.432203389831,356
2.7,13924.036363636364,356
3.25,17370.7731092437,356
0.2,12616.507246376812,42
0.0,9.666666666666666,33
5.8,39656.08620689655,25
7.9,22021.44890510949,25
9.2,7449.400584795321,25
8.2,5166.87356321839,25
10.9,4096.206806282722,350
5.85,2840.758208955224,350
3.0,1559.4237288135591,350
3.0,7422.226890756302,350
3.6,7840.628787878788,350
3.75,5287.319727891156,350
4.05,6650.9358974358975,70
3.75,7329.820512820513,70
3.9,7783.816993464052,70
5.0,7781.47191011236,70
5.15,7832.945273631841,70
3.4,7974.470588235294,70
4.6,8420.45625,383
4.4,8930.12222222222,383
3.25,8159.263157894737,383
4.25,6472.16,383
4.05,7170.548192771084,383
4.15,8444.19512195122,383
4.0,7350.4662576687115,193
3.45,7285.5704697986575,193
3.65,8123.510638297872,193
4.25,9755.04458598726,193
3.35,11218.848684210525,193
4.25,9049.394736842105,193
1.3,8515.288288288288,37
15.1,21621.96330275229,24
12.75,12956.391382405744,24
15.75,1631.1546572934972,24
17.0,1368.8931297709921,24
16.4,1262.9251497005987,24
18.55,12345.90271816881,343
15.6,12284.834553440702,343
3.1,898.1604278074866,343
3.65,3093.162962962963,343
4.55,3802.713414634146,343
3.5,3549.378881987577,343
3.35,5255.5620437956195,223
2.85,9794.048387096775,223
2.55,10457.444444444443,223
2.9,10689.266055045871,223
3.6,10329.215384615385,223
4.25,6972.592356687897,223
3.25,10745.486666666666,362
4.05,12291.77397260274,362
2.45,10927.692307692309,362
4.45,11840.963768115942,362
2.8,13124.46896551724,362
3.75,14116.549618320609,362
3.2,10476.107913669064,71
3.45,11032.431818181818,71
2.9,14490.937007874016,71
3.6,13589.769230769229,71
3.5,9124.55633802817,71
4.15,9809.091503267973,71
4.85,7640.177777777777,92
4.55,6256.058510638298,92
3.55,8014.167701863354,92
3.95,7740.246666666667,92
4.35,8429.186746987953,92
5.5,7532.563451776649,92
3.6,8474.351648351649,126
4.5,9762.697530864196,126
5.25,5965.360824742267,126
6.1,4522.225663716814,126
3.85,5245.487437185929,126
4.75,4793.6511627906975,126
5.2,3737.681818181818,188
5.4,4894.301886792453,188
5.65,5433.651583710407,188
6.15,4670.782978723404,188
6.4,4595.713147410358,188
5.65,3685.820833333333,188
5.9,3278.744588744589,48
6.2,3087.086776859504,48
6.5,3763.1496062992123,48
8.35,3611.8518518518517,48
7.95,2263.083076923077,48
8.4,1959.889570552147,48
9.0,1865.0173410404625,89
21.15,16555.734219269103,89
10.2,15530.079744816587,89
5.1,974.8856209150326,89
4.65,2138.5846153846155,89
3.7,4187.275449101797,89
4.8,6095.029411764705,364
3.8,6538.766081871344,364
4.55,5858.9101796407185,364
4.8,4996.737967914438,364
4.65,5040.619047619047,364
4.4,5500.220994475138,364
3.85,6184.4,111
6.2,4625.597014925373,111
6.3,5363.819277108433,111
4.1,6109.216346153846,111
4.2,5678.042168674699,111
5.55,4611.620512820513,111
5.0,4531.919431279621,231
4.6,5893.489583333333,231
5.55,5180.635467980295,231
5.4,5167.4611872146115,231
5.45,5171.597222222222,231
6.0,4356.572052401747,231
5.1,3994.608108108108,194
6.8,3345.588235294117,194
5.65,2922.7751004016063,194
5.45,2955.6666666666665,194
5.85,3341.3141592920356,194
5.15,3433.945454545454,194
7.15,4385.15918367347,389
23.05,6007.781456953642,389
24.3,5346.520084566596,389
21.9,3116.8993506493507,389
23.2,4338.981090100111,389
11.1,4991.5991253644315,389
11.6,21344.450110864746,268
21.1,23313.188073394496,268
3.7,12032.11313131313,268
2.65,2930.4761904761904,268
3.85,5238.515384615384,268
2.7,6344.1908396946565,268
3.75,7235.546875,337
3.7,6464.1879194630865,337
2.8,8449.36923076923,337
3.6,11193.296875,337
3.15,10638.414814814814,337
2.9,12741.3,337
