throughput,latency,threads
137.0,34.24300091491308,200
131.8,45.209878844361604,200
108.25,143.2094142259414,200
139.75,128.19070707070705,200
134.65,39.501552511415525,200
142.65,36.93460982658959,200
97.15,157.4003343083995,200
118.85,203.79202411314628,200
90.25,88.59256594724219,200
68.7,103.85007874015749,200
50.55,202.49474127050902,200
46.1,273.72769709543564,200
30.7,322.3035248041775,200
30.4,440.8049180327869,200
27.85,542.6506437768239,200
23.8,452.0212971926428,200
23.3,648.0882978723404,200
24.0,1117.9598308668076,200
21.6,1153.8934065934066,200
16.9,1525.7064935064934,200
15.45,1784.4064914992273,200
15.5,1657.9579967689822,196
13.65,1896.0977701543738,195
19.7,1620.5413533834585,194
19.05,1405.512258064516,194
18.35,1258.98927613941,194
11.95,823.9950331125827,194
11.35,855.0150537634408,194
5.95,1514.7246376811595,194
6.2,2100.880165289256,194
5.6,1089.2796610169491,194
4.85,1493.0382775119617,194
5.2,2869.1608040201004,194
6.65,5403.675105485232,194
6.1,6358.916996047431,194
5.95,3923.375,194
5.85,2812.506382978723,194
2.45,5137.9879518072285,194
2.55,7127.42,194
3.9,5741.503875968992,194
3.0,6885.81884057971,199
1.2,12437.33734939759,200
0.0,27125.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.05,562778.0,200
0.0,562778.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.05,1079821.0,200
0.1,1074696.3333333333,200
0.05,1121194.6666666667,200
0.1,1248619.0,200
0.05,1160933.6666666667,200
0.05,1139058.5,200
0.05,1177312.5,200
0.15,1245158.5,200
0.15,1280889.6666666667,200
0.05,1276868.25,200
0.05,1225939.0,200
0.0,1081877.0,200
0.0,0.0,200
0.0,0.0,200
0.05,1462870.0,200
0.0,1462870.0,200
0.0,0.0,200
0.0,0.0,200
0.05,1009518.0,200
0.0,1009518.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.05,1095204.0,200
0.0,1095204.0,200
0.0,0.0,200
0.0,0.0,200
0.05,1186850.0,200
0.0,1186850.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.05,1316300.0,200
0.0,1316300.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.05,1664575.0,200
0.0,1664575.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
0.0,0.0,200
