throughput,latency,threads
33.05,913.2722132471728,178
81.4,808.472623740692,178
67.85,238.8429003021148,178
50.65,240.46652542372883,178
37.9,427.26933935629586,178
31.35,542.8675832127351,178
0.05,532.8819776714513,121
0.0,17.0,118
0.0,0.0,116
0.0,0.0,114
0.0,0.0,111
0.0,0.0,109
0.0,0.0,106
0.0,0.0,104
0.0,0.0,101
0.0,0.0,98
0.0,0.0,96
0.0,0.0,93
0.0,0.0,90
17.45,59941.46418338108,90
7.65,46408.53784860557,90
0.0,15539.313725490196,90
3.25,71622.75384615384,90
7.8,30664.253393665156,90
0.0,13598.211538461537,86
0.0,0.0,83
0.0,0.0,80
0.0,0.0,77
6.65,106350.46616541353,75
18.0,34662.582150101414,75
34.7,6434.459562321597,91
26.8,4866.9235772357715,91
16.85,4595.436046511628,91
17.85,6658.61038961039,91
9.5,8089.71743119266,91
8.7,9987.709141274237,91
0.3,11301.383333333333,81
0.0,22.8,78
0.0,0.0,74
0.0,0.0,70
0.0,0.0,66
0.0,0.0,61
20.4,51753.46078431373,356
105.85,8496.439207920792,356
73.2,174.18819910514543,356
62.15,131.12943786982248,356
35.4,275.9323423885187,356
29.55,776.7952270977675,356
2.05,2333.829346092504,144
0.0,22510.658536585364,141
0.0,0.0,139
0.0,0.0,137
0.0,0.0,135
0.0,0.0,133
19.6,19267.62244897959,350
30.0,8069.091733870968,350
28.45,761.6523972602739,350
21.3,697.1718592964825,350
11.65,2753.998480243161,350
18.15,4879.581512605042,350
2.6,3248.597590361446,144
0.0,30.08,142
0.0,0.0,140
0.0,0.0,138
0.0,0.0,136
0.0,0.0,134
17.65,22956.405099150143,383
27.95,10165.149122807017,383
23.75,1822.6531007751937,383
25.6,2618.3468559837725,383
21.25,4093.0705128205127,383
16.7,3034.4372523117568,383
12.2,1536.7525951557093,193
8.15,4664.766584766584,193
11.0,9856.6953125,193
10.7,7749.267898383371,193
9.2,5993.881313131313,193
8.3,9664.653295128941,193
1.25,10035.282722513088,153
0.0,103.70833333333333,150
0.0,0.0,148
0.0,0.0,146
0.0,0.0,144
0.0,0.0,142
7.55,80345.31788079471,343
18.8,26578.282732447817,343
18.15,7129.01902173913,343
14.25,8660.90092879257,343
15.1,7561.667802385008,343
10.65,8869.912790697674,343
12.2,11901.695842450765,223
9.05,8190.504716981132,223
10.1,2242.0469973890335,223
5.85,4116.8706624605675,223
4.0,18050.408163265303,223
2.9,27087.942028985508,223
10.85,17952.876363636362,362
13.55,12760.32581967213,362
11.4,6447.736418511066,362
9.8,10638.943396226416,362
7.95,11555.76338028169,362
7.6,3572.702265372168,362
2.75,5929.260869565217,151
0.0,11117.433962264151,149
0.0,0.0,147
0.0,0.0,145
0.0,0.0,143
0.0,0.0,141
0.0,0.0,139
0.0,0.0,136
0.0,0.0,134
0.0,0.0,132
0.0,0.0,130
0.0,0.0,128
0.55,386584.63636363635,126
12.15,130113.6062992126,126
7.4,76639.8282051282,126
12.95,7831.415233415233,126
5.1,14766.240997229917,126
3.65,31531.714285714286,126
8.7,16098.842105263158,188
34.25,8772.172293364378,188
21.95,5847.268032056991,188
14.05,5038.463888888889,188
15.35,4908.940273037542,188
15.6,1931.7990275526743,188
4.75,2561.0049140049136,142
0.0,841.4631578947368,140
0.0,0.0,137
0.0,0.0,135
0.0,0.0,133
0.0,0.0,130
0.0,0.0,127
0.0,0.0,124
0.0,0.0,122
0.0,0.0,119
0.0,0.0,117
0.0,0.0,114
4.0,437891.5625,364
0.45,394600.06741573033,364
6.8,22818.23448275862,364
3.0,34584.295918367345,364
0.0,59299.31666666666,364
0.0,0.0,364
0.0,0.0,124
0.0,0.0,121
0.0,0.0,119
0.0,0.0,116
0.0,0.0,113
0.0,0.0,111
5.65,283334.1946902655,231
62.55,24738.73313782991,231
46.15,830.8758049678013,231
29.3,1376.9549370444001,231
17.8,4374.724468085106,231
15.4,4965.62443438914,231
17.0,1905.182945736434,194
15.85,298.630534351145,194
14.75,840.1590163934426,194
13.85,3114.7635726795097,194
12.85,5646.981273408239,194
12.0,3617.6895161290317,194
3.1,637.682119205298,222
0.05,2839.951612903226,242
0.1,84655.66666666667,258
0.45,568132.5454545454,321
0.85,309524.6538461539,389
0.15,249469.31578947368,389
9.6,76810.9076923077,268
18.95,26219.080560420312,268
14.5,9496.845345345344,268
11.7,12641.892720306512,268
10.75,7682.627802690583,268
9.6,4638.68796068796,268
4.85,5866.65625,337
0.2,1414.7128712871286,337
0.3,179164.8,337
0.75,216473.5238095238,337
0.25,463769.0,337
1.45,219943.17647058822,337
