throughput,latency,threads,p99 latency
14.35,350.83740522325184,178,13833.879999999994
42.55,364.2981530343008,178,13858.379999999994
39.25,22.055012224938874,178,123.77999999999928
41.85,21.50801479654747,178,114.53999999999996
40.7,21.052089642640823,178,109.47000000000003
41.6,21.237545565006073,178,99.52999999999997
13.95,379.1224122412241,20,13833.810000000003
41.45,381.2897111913357,20,13834.390000000001
42.9,22.14404267931239,20,127.23999999999977
40.85,21.589253731343284,20,127.46000000000002
42.2,21.43889223359422,20,113.27999999999928
40.55,21.76132930513595,20,118.35000000000012
10.25,475.02066929133855,75,15825.599999999999
38.2,498.63570691434467,75,15836.499999999998
39.9,23.86171574903969,75,233.41999999999277
42.5,23.4126213592233,75,181.5599999999995
46.05,22.842075578116184,75,123.25999999999998
41.6,22.764974329720477,75,141.26000000000113
11.3,429.6947069943289,90,14772.260000000007
39.8,442.3180039138943,90,14803.219999999998
41.8,21.794117647058822,90,104.05000000000108
40.85,22.229280096793705,90,122.46000000000002
43.3,22.224598930481285,90,120.96000000000049
42.45,21.63790087463557,90,114.83999999999992
13.8,379.58259325044406,20,13832.73
42.8,378.86042402826854,20,13832.67
42.85,21.293980128579776,20,79.87999999999988
41.65,21.920710059171597,20,116.43999999999869
41.05,22.2503022974607,20,133.9000000000001
42.15,22.42247596153846,20,184.24999999999682
12.0,420.8882733148661,400,15223.600000000031
41.0,428.43490566037735,400,15312.150000000038
43.4,22.303317535545023,400,134.6599999999994
43.65,22.00630733944954,400,100.1499999999994
42.2,22.30675203725262,400,103.04999999999973
40.75,22.77368738684369,400,139.6800000000003
10.45,88.935546875,400,303.5
0.75,1787.4151785714284,400,33734.75
1.65,19969.416666666668,400,50035.0
43.95,1343.9506578947367,400,46970.48000000001
39.3,367.8336336336336,400,11116.799999999948
42.15,22.68366093366093,400,136.2600000000002
11.4,65.29439252336448,183,275.7399999999997
41.55,420.46270066100095,183,14534.00000000002
42.15,245.9910394265233,183,14249.0
40.85,21.072289156626507,183,82.77999999999975
41.0,22.4208918753818,183,123.95999999999911
42.15,24.485267588695127,183,273.7199999999998
12.5,111.24794144556267,25,290.9999999999945
40.05,427.68981921979065,25,14767.0
40.2,228.65669781931462,25,14321.44
40.2,21.583955223880597,25,82.64000000000033
41.95,21.516129032258064,25,100.23999999999977
42.45,22.6771327014218,25,121.2199999999998
13.5,66.69320214669051,256,277.0
39.9,444.42415730337075,350,15397.55
41.8,269.04589963280296,350,14869.850000000008
39.4,22.841748768472904,350,153.5
41.85,23.651692307692308,350,236.44000000000005
40.7,23.612356147789217,350,212.24000000000066
14.45,30.27289211242067,70,193.32000000000062
37.75,456.2595785440613,70,15651.849999999997
39.4,310.0,70,15193.999999999989
41.65,22.19185687847008,70,126.3399999999999
44.2,21.99417588817705,70,123.27999999999975
38.9,21.959085439229842,70,104.47999999999956
16.25,69.0888485947416,334,281.9200000000001
38.6,409.59070191431175,383,14416.499999999993
40.7,256.96216897856243,383,13925.799999999996
40.8,21.958307786633966,383,96.0
40.05,23.00618811881188,383,168.31999999999968
42.55,23.023002421307506,383,193.3600000000001
16.85,33.70117845117845,193,282.2199999999998
