throughput,latency,threads,p99 latency
9.4,2568.611801242236,178,54067.19999999989
12.55,2221.084282460137,178,57525.400000000074
15.7,1395.2654867256635,178,48737.72000000009
16.75,854.3728813559322,178,17105.5
23.05,1319.4233668341708,178,62303.87999999981
8.55,1651.610759493671,178,70758.4499999999
10.65,1867.9947916666667,20,31794.49999999974
15.45,1508.7145593869732,20,29954.54999999999
31.45,938.043710021322,20,27599.52000000012
13.3,813.5463687150838,20,18376.559999999517
11.5,1125.3145161290324,20,24504.48
12.7,1424.909090909091,20,27640.19999999984
20.2,1656.5128983308043,75,41919.59999999972
27.4,932.7289915966386,75,22028.640000000007
11.2,379.0958549222798,75,12405.979999999994
9.5,1223.1859903381642,75,30787.15000000003
7.4,1955.3026706231453,75,37075.66
9.05,2045.1519756838904,75,38192.59999999997
8.3,1995.492795389049,90,44122.39999999982
10.35,2601.3351206434318,90,73817.99999999997
13.65,1911.5708333333332,90,63951.439999999995
22.3,1472.6801112656467,90,32803.799999999865
26.65,1321.0418794688458,90,29176.00000000024
14.1,876.2552147239264,90,12518.760000000128
9.15,904.9096774193548,90,25300.21999999999
7.8,1800.513274336283,90,32707.200000000044
8.35,2090.9349845201236,90,35843.15999999997
10.9,2321.561038961039,90,68945.57999999999
13.1,1914.8354166666666,90,53972.23999999996
12.65,1199.6699029126212,90,30412.95999999987
13.2,3170.0657640232107,91,109532.18999999943
16.35,2499.0609137055835,91,83137.44000000143
6.85,794.8491379310344,91,23276.80000000005
8.3,2205.963696369637,91,41982.99999999998
6.7,2211.2633333333333,91,49735.640000000036
6.75,2910.96282527881,91,74872.00000000001
7.5,4128.098245614035,39,88004.73999999966
8.0,3348.5354838709677,39,104057.35999999942
8.0,2795.225,39,89245.68000000018
6.75,2844.267796610169,39,82726.68000000018
6.35,3416.8091603053435,39,73350.1700000001
8.7,3466.1960132890367,39,76561.96000000021
11.6,4300.564039408867,356,87364.60000000018
31.2,1640.679906542056,356,41652.079999999914
13.7,302.6321070234114,356,5611.299999999988
8.5,863.6756756756756,356,21200.320000000007
9.95,2079.013550135501,356,42817.7
10.05,2052.9,356,44991.37000000001
8.2,1991.2520547945205,25,49497.899999999834
9.15,2482.795389048991,25,55016.39999999995
9.65,1967.7686170212767,25,40332.700000000295
9.4,1787.1811023622047,25,42130.860000000175
17.25,2681.6960600375232,25,72686.95999999988
34.2,1435.5306122448978,25,40397.70000000076
19.6,684.8485130111524,350,9789.810000000025
25.6,542.7035398230089,350,8670.500000000002
7.75,552.6326836581709,350,13587.320000000082
9.3,1471.005865102639,350,30989.83999999995
10.1,1934.984536082474,350,43840.010000000046
11.2,2000.8380281690138,350,51664.050000000025
8.6,3795.0959595959594,70,80853.5799999999
26.05,1808.2265512265512,70,43576.899999999405
8.6,466.5411255411255,70,9920.760000000128
6.8,1536.6818181818182,70,31800.649999999998
8.8,2377.576923076923,70,45880.08000000003
9.8,2342.809139784946,70,59589.57999999998
8.9,2380.385026737968,90,61434.0
10.15,2220.9238845144355,90,47684.8000000001
9.85,1864.4775,90,42890.52000000003
11.25,1516.931279620853,90,37651.83999999992
22.75,1927.8338235294118,90,53778.51999999893
14.25,1553.4337837837836,90,31699.490000000125
6.8,2764.3966745843227,193,38615.579999999885
32.5,1414.4083969465648,193,31556.89
34.3,207.4199101796407,193,3606.2099999999805
11.85,344.24485373781147,193,4914.279999999994
7.35,882.1067708333334,193,19738.999999999975
7.55,2047.7315436241608,193,41339.169999999875
8.4,2631.156739811912,24,63534.80000000011
10.35,2657.7466666666664,24,71967.44000000002
13.15,2330.5106382978724,24,82527.32000000015
11.5,1674.657200811359,24,50847.52000000004
12.8,1367.90329218107,24,27695.649999999983
15.8,1076.0244755244755,24,21300.50999999994
11.7,2225.818181818182,20,88737.31000000017
21.1,2162.213414634146,20,68648.55999999908
12.7,1122.0798816568047,20,15727.730000000009
14.75,1317.934426229508,20,25181.0
20.8,1204.0900140646975,20,32950.92
8.2,1338.141379310345,20,34366.28999999956
8.1,1783.4110429447853,223,29976.920000000042
6.95,1940.0299003322257,223,48395.18000000017
7.2,2956.226148409894,223,70267.8800000003
7.35,3566.745704467354,223,86840.51999999976
6.8,3274.13074204947,223,89454.00000000033
6.25,3207.735632183908,223,83109.86
6.35,3381.6547619047615,350,73439.71999999999
8.2,3145.745704467354,350,64583.27999999999
