IRR,Request Count,Mean Latency (for window),99th Latency
-1,2461,1651.782884310618,70784.79999999986
-1,4364,1365.847599164927,27986.59999999992
-1,6058,2057.8501529051987,38250.95999999991
-1,7969,907.1118170266835,13200.840000000002
-1,9228,1180.4236641221373,29961.25
-1,10374,2961.3169811320754,74916.79999999996
-1,11288,3757.2335526315787,87432.54999999987
-1,12988,1965.2581453634084,45011.0
-1,14803,1366.3975448536355,35342.40000000153
-1,16444,1789.6384439359265,51456.700000000004
-1,17813,2200.2219321148823,59484.63999999997
-1,19370,1555.2863187588152,28753.719999999772
-1,21362,1987.8327645051195,42005.020000000026
-1,22964,1983.0582386363637,66741.40000000029
-1,24591,1163.1627906976744,24525.329999999994
-1,25445,3382.36641221374,83108.89
-1,26324,3144.4659863945576,72127.30000000025
-1,27420,1687.5957943925232,56887.31999999967
-1,28744,3106.6332179930796,68406.50000000013
-1,29702,2841.531609195402,66836.52999999993
-1,31593,1126.2229299363057,36054.35999999997
-1,33050,1370.771484375,38848.25000000002
-1,34253,2883.659722222222,73809.92000000004
-1,35238,2146.497252747253,56200.05000000001
-1,36751,2194.3817567567567,41326.91999999995
-1,37816,2544.4869791666665,61152.94999999973
-1,39442,2148.596252129472,61588.280000000035
-1,40584,2978.9337979094075,64451.28000000006
-1,42120,1711.7082706766917,38084.3600000003
-1,43930,1544.0326797385621,44599.999999999985
