IRR,Request Count,Mean Latency (for window),99th Latency
-1,25084,357.41926729986426,3992.959999999999
-1,25085,0.0,0.0
-1,25085,0.0,0.0
-1,25085,0.0,0.0
-1,25085,0.0,0.0
-1,27733,13037.511146496814,29531.01000000005
-1,30799,8493.284789644013,65977.40000000055
-1,41716,670.6565696302124,3499.650000000007
-1,41776,0.0,0.0
-1,42709,11917.497354497355,268957.0800000001
-1,42733,0.0,0.0
-1,50031,1808.885887284583,3501.359999999999
-1,53971,2150.1780155642023,978.7099999999999
-1,53976,0.0,0.0
-1,56925,3620.0812903225806,1121.6000000000004
-1,58160,2397.823899371069,18446.7
-1,59238,8054.629513343798,200623.60000000117
-1,59238,0.0,0.0
-1,59238,0.0,0.0
-1,59238,0.0,0.0
-1,61758,11728.28205128205,544187.5100000027
-1,61763,0.0,0.0
-1,61763,0.0,0.0
-1,61913,1030233.0,1671704.0
-1,61913,0.0,0.0
-1,62623,50578.02298850574,1677826.5799999998
-1,63314,32572.354838709678,1286110.1599999976
-1,63335,183055.33333333334,207539.0
-1,63361,1264079.5,3405401.0
-1,63467,559400.2307692306,2728249.0
