throughput,latency,threads,p99 latency
14.3,351.4822510822511,178,13235.72
42.05,361.9004444444444,178,13239.619999999999
41.1,32.12266987372219,178,284.1599999999994
40.7,31.656078191814295,178,275.6199999999999
40.05,32.38575851393189,178,279.8399999999999
41.4,31.36977886977887,178,274.1300000000001
14.55,382.90348525469165,20,13585.4
41.15,388.7405745062836,20,13585.55
40.9,34.02925045703839,20,285.5799999999999
39.2,33.674157303370784,20,282.0
42.1,31.439729397293974,20,275.0
40.35,32.271679805942995,20,281.97999999999996
13.4,432.94325581395344,75,14730.84
39.0,442.60553963705826,75,14735.32
41.9,33.156983930778736,75,278.80999999999995
40.45,33.24650880388585,75,267.55999999999995
36.9,34.698125404007754,75,280.52
42.3,35.03661616161616,75,281.1500000000001
12.2,426.98623853211006,90,14707.9
41.0,435.9595864661654,90,14710.5
39.15,31.80723643169058,90,280.0
42.65,30.128361858190708,90,275.25999999999976
40.7,32.2753449310138,90,279.6399999999999
42.05,32.91601208459215,90,279.0
11.0,432.74835061262957,165,14758.0
41.3,436.953154875717,165,14758.0
40.9,31.510948905109487,165,283.54999999999995
41.9,31.524788391777506,165,287.7600000000002
40.7,30.400121065375302,165,280.0
40.75,33.414364640883974,165,284.4200000000001
11.15,451.11645813282,91,14737.59999999999
39.65,457.04527559055117,91,14763.130000000003
38.05,33.16537966537967,91,286.8400000000001
40.8,34.325935320228275,91,305.21999999999997
37.7,33.66178343949044,91,285.0
41.2,34.51647655259822,91,286.60000000000036
12.1,433.88836772983115,39,14685.259999999997
41.0,432.8557964184731,39,14686.359999999997
41.0,33.918902439024386,39,285.5899999999999
41.4,36.15594660194175,39,297.0799999999999
39.1,35.27950310559006,39,287.0
40.55,35.22724419334589,39,300.05999999999995
12.45,431.0018867924528,356,14512.760000000007
39.2,437.0869565217391,356,14534.600000000008
38.7,33.59820282413351,356,306.23000000000025
42.35,33.66440468846391,356,297.8199999999994
42.0,31.077698695136416,356,280.0
40.65,31.079854809437386,356,263.8100000000006
14.5,392.9764492753623,25,13768.000000000004
40.1,395.8965201465201,25,13777.199999999995
41.5,32.70772058823529,25,288.0
42.0,35.50718562874251,25,296.5799999999999
40.15,33.65733414485697,25,287.1199999999999
40.85,29.055555555555554,25,207.11999999999986
