throughput,latency,threads
2000.25,9.416962740057492,164
2203.7,8.617291549055054,180
1408.45,11.72163500000891,200
968.0,13.54334474754646,200
573.0,20.2787148795696,200
636.15,22.370264217249385,200
265.95,48.77288080818804,200
307.4,55.86967200181893,200
148.25,81.6213969214246,200
73.85,68.99273009490085,200
278.6,64.93644223754369,200
78.5,96.29909380459358,200
59.65,111.38170725506899,200
53.15,270.48864814019686,200
42.9,362.52760189338466,200
44.25,439.84677107091943,200
53.15,460.699228547042,200
50.2,407.6482334447832,200
129.35,256.86308162863924,200
28.0,304.98928011611656,200
91.3,335.78910379810975,200
32.75,614.5769677139099,200
74.65,481.5198916137393,200
48.3,625.7010513131021,200
60.85,552.5221729091904,200
40.7,624.0375407227227,200
60.1,539.2777801549644,200
55.75,504.7370174538486,200
40.05,592.554070101347,200
135.75,467.19068500064776,200
53.7,553.9995721871459,200
47.9,546.9723032385282,200
46.2,1097.9371976403922,200
53.6,1097.0218770761678,200
87.45,1067.495897480641,200
26.05,846.180414823459,200
