throughput,latency,threads
849.6,2.7196324414759014,100
1235.4,2.442976330239808,100
1245.85,2.5540315086089134,100
1229.1,2.4650390565395366,88
1262.5,2.605791089183424,68
1030.85,2.492557756027783,62
1262.55,2.447872515778495,60
1267.9,2.3314918639390654,47
1064.5,2.290929578071886,47
1221.25,2.4233388570361285,47
1125.3,2.301471334532691,47
1227.0,2.3658076522214744,47
973.75,2.332980204348547,78
1243.4,2.4927613618262208,78
1217.5,2.4452739775036494,78
1170.85,2.3928988206820376,71
1258.3,2.3383510504428187,64
1125.1,2.338857683631342,56
1222.55,2.250169819321236,56
1020.3,2.1707661539389247,50
1236.2,2.184484085834126,50
1227.55,2.140009157850823,49
1067.55,2.4786826546122116,47
1108.65,2.367522560503174,47
1209.5,2.4241281070841905,45
1251.7,2.108195555170186,33
1223.85,1.9955658999320742,25
1037.55,2.295760995948587,31
1275.4,2.3545035967451806,47
1235.75,2.4820272091601976,47
1024.7,2.2231416378125353,47
1296.2,2.211647216319053,47
1281.15,2.202826712093172,47
883.8,2.5161138432498915,46
1250.95,2.4417387567436672,50
1318.8,2.4404812508673874,50
