IRR,Request Count,Mean Latency (for window),99th Latency
0.0,5977,108.23592337062108,2322.8408810999954
0.0,6454,948.9857757216273,45091.29916623996
0.0,6459,126616.3067412,143776.55761
0.0,6464,183084.9901782,210844.743048
0.0,6955,2021.782642700422,87379.35998075
0.0,6962,217889.00225771428,329226.406548
0.0,7394,4902.34162144208,335111.58027659997
0.0,7400,381334.9185718333,443762.410675
0.0,7744,7295.976198204205,476765.4190517604
0.0,7750,505817.356658,567090.714362
0.0,8096,8909.954899104789,584377.7047122996
0.0,8102,662985.054224,704791.790218
