throughput,latency,threads
433.6,13.029704942837386,167
2497.95,7.08159039426242,174
1762.95,10.187457381797849,253
563.3,10.461869019054268,372
1322.6,15.855038914301765,395
640.4,18.394449135028147,395
0.15,25.063020165891512,157
0.1,52.36174221522475,155
0.2,83042.31408333333,151
220.9,170.98246983001806,275
718.35,48.97093157059982,275
162.85,42.10659679239633,275
0.1,52.34969538424904,173
0.1,231.31400480886427,171
0.05,124846.18225099999,170
74.2,585.9256678123738,241
157.3,272.8449804338156,243
137.7,207.24833887919826,245
131.35,188.60105892811072,286
149.2,150.21110098850298,288
89.5,199.131335782883,290
0.25,351.42032012156204,175
1.75,906.9544727677595,175
15.0,4031.236519241176,175
60.95,961.8385845148005,201
79.2,692.6732070989365,203
67.9,545.5241902686854,205
88.0,518.0307987930668,236
22.55,598.9946595348837,240
167.2,466.3088194754275,262
17.7,524.8112929510726,172
0.1,673.3646042376694,170
0.1,7328.895748743017,168
0.1,517613.25950966665,166
0.1,504460.402319,165
0.05,494393.1322394,163
