throughput,latency,threads
393.25,4.496611905300623,298
2251.4,3.2887596650848865,298
1700.2,4.57167649582849,298
382.95,5.939025458833867,414
1220.95,10.604071972001703,414
1003.05,11.969995968160239,414
124.9,12.93441636557805,334
945.95,21.742392931408553,334
588.3,27.938572880569495,334
502.8,23.558245229621264,248
225.75,21.444015067926824,248
327.2,24.387388561496564,248
9.6,43.360540739544405,169
0.05,57.83713681955675,168
0.1,3826.3905566857143,166
180.65,286.5011210141001,287
239.55,174.09887466285986,287
271.25,95.01215418851687,287
192.15,98.46036220067104,587
201.8,82.25209132227917,587
148.85,135.8141809117212,587
136.85,170.41034997820947,465
111.0,239.4975176196009,465
72.75,315.2538530577164,465
87.0,293.20453644563804,207
105.05,339.8225403900776,207
86.3,224.82498427712795,207
40.95,400.7363356305195,418
12.75,465.0271034150538,418
38.4,931.2444945435617,418
4.75,1552.0707436368514,189
0.05,2332.68706875029,188
0.1,26280.825834642856,186
121.45,887.3772802816611,556
136.6,537.7838010271108,556
114.3,396.3273444537397,556
