throughput,latency,threads
0.0,0.0,25
0.0,0.0,25
190.4,98.57548221559873,181
468.85,73.63976061838314,200
1211.9,50.19409989292681,200
1257.9,42.446895113529905,200
413.6,35.60546564082894,200
159.85,40.56723435883768,200
40.85,51.4492817758789,200
64.95,143.20206212516467,200
169.9,206.48937160190613,200
34.0,220.14361133748838,200
41.7,247.7881861559446,200
33.45,413.29790925836,200
2.8,768.6977322738934,200
175.4,451.463460193716,200
292.3,226.32606343836343,200
75.0,182.53923553372027,200
1.55,213.15853650935463,200
1.25,637.0709069442282,200
1.65,8442.876923865168,200
0.1,5727.328126316666,200
0.05,11714.928809722222,200
0.2,53956.900173999995,200
0.05,28379.03130633333,200
0.1,81445.42681685714,200
0.2,73963.25778371427,200
0.4,72608.56930707142,200
0.95,31176.784051548384,200
0.65,39472.157081474994,200
0.3,40808.345298078944,200
2.05,20034.611172849996,200
0.65,19679.46496995,200
0.4,22476.017835370967,200
0.3,48692.132910518514,200
1.25,37182.63396738461,200
