throughput,latency,threads,p99 latency
9.2,2238.9398907103823,38,46504.17999999994
11.25,1696.4201474201473,38,35233.240000000005
11.0,1508.438202247191,38,30755.579999999958
10.0,1623.597619047619,38,31310.740000000016
9.55,1480.398976982097,38,30686.999999999978
13.1,1346.5960264900662,38,32771.25999999995
18.45,2002.4738510301108,38,43131.07999999954
21.3,2144.2075471698113,38,80290.0799999973
8.2,1658.0118644067798,38,20748.940000000406
7.0,1851.2368421052631,38,38524.74999999995
7.1,2732.2907801418437,38,51035.110000000095
7.45,2665.0893470790375,38,50460.6399999999
7.8,2603.8065573770486,38,46154.05999999999
6.95,2712.379661016949,38,61270.60000000021
8.35,2848.4934640522874,38,62390.43000000001
7.85,2750.475308641975,38,58536.0
8.85,2563.9071856287424,38,65287.54999999976
9.05,2190.558659217877,38,61471.60000000018
18.5,3505.81884057971,38,121032.22000000146
35.35,1578.9136490250696,38,36387.22000000031
19.9,162.4538043478261,38,2411.7000000000016
7.9,597.3003597122301,38,16356.699999999955
8.9,1752.8035714285713,38,38195.40999999996
9.05,2048.473537604457,38,47113.19999999995
10.2,1662.464935064935,38,40995.37999999988
10.5,1390.5966183574878,38,33897.15
9.5,2087.6575,38,52000.48000000009
11.5,2084.016666666667,38,63597.000000000546
9.7,1486.3537735849056,38,32853.75
6.65,2085.4556574923545,38,42688.59999999999
9.85,2496.009090909091,38,54978.45999999997
9.95,2027.8358585858584,38,56261.589999999786
10.8,1829.368674698795,38,42558.55999999983
21.35,3153.746500777605,38,69656.71999999891
9.7,3014.9112903225805,38,74242.22999999927
7.15,1640.2189349112425,38,38872.2500000001
13.8,1957.816229116945,38,44124.20000000002
16.05,1234.4020100502512,38,33894.67999999993
20.25,1131.4057771664372,38,23724.520000000153
12.35,1226.6196319018404,38,21256.149999999998
16.55,919.6038062283736,38,20664.620000000024
30.9,1157.7605485232066,38,29990.439999999966
14.5,1000.7753303964757,38,26732.899999999794
7.45,811.8200455580865,39,23288.200000000095
7.4,1963.5286195286194,39,47744.1399999999
7.65,2705.3388704318936,39,53053.78
10.45,2502.1077348066297,39,60738.780000000035
11.9,1569.2863534675614,39,38588.6399999998
10.2,2011.8597285067872,39,58879.95999999983
8.6,2550.0851063829787,39,75265.90000000011
12.75,1898.430913348946,39,44459.43999999976
19.7,2523.263482280431,39,54330.5
14.3,1885.4485294117646,39,49474.599999999635
7.1,748.8644859813085,39,19556.069999999985
7.8,1955.8288590604025,39,41810.09999999989
9.1,2665.6568047337278,39,60022.27000000008
12.9,2172.3022727272723,39,63317.54999999995
15.85,2136.3547826086956,39,59484.88000000006
24.95,1376.3541666666667,39,45776.98000000052
27.55,527.7238095238096,39,7654.960000000005
15.5,475.4327146171694,39,9461.580000000005
7.15,1005.39293598234,39,30465.899999999994
8.15,1943.3856209150326,39,40517.6
9.55,2277.316384180791,39,51103.999999999905
11.5,2212.8669833729214,39,57502.61999999994
9.3,1966.4951923076922,39,49334.549999999894
9.8,1712.609947643979,39,29310.52000000005
14.6,1354.530737704918,39,27774.160000000018
29.25,1751.898401826484,39,67881.1900000002
27.25,1111.49203539823,39,19091.100000000228
9.4,345.82128240109137,39,9772.359999999982
6.95,1468.2599388379203,39,36160.51999999998
7.05,2165.946428571429,39,40081.51999999999
6.5,2683.830258302583,39,62854.759999999595
8.5,2937.5133333333333,39,74464.67000000001
11.15,2797.6310432569976,39,85895.92000000001
13.65,1989.5262096774193,39,48092.579999999434
22.55,1607.3964088397788,39,36814.03999999999
8.3,1650.4959481361427,39,35819.96000000015
7.1,1276.7207792207791,39,28341.240000000118
7.15,2422.119298245614,39,49376.159999999894
8.5,2667.6869009584666,39,64335.860000000124
7.25,2085.063492063492,39,68978.5199999995
5.85,3634.5572519083967,39,84303.76
7.05,4797.073643410852,39,94487.63000000059
8.85,3589.764150943396,39,74440.77000000003
6.75,3002.5512820512818,39,60695.310000000005
9.05,2451.996835443038,39,37816.21999999999
10.25,1987.1321243523316,39,43150.259999999915
12.05,1701.9507829977629,39,44051.67999999988
14.15,1883.5419847328242,39,33464.75
21.2,2363.7991513437055,39,83728.7199999991
16.85,1726.8239159001314,39,27373.49999999995
9.35,871.0896946564885,39,22237.75
9.25,1429.8682795698924,39,26571.879999999986
10.45,1672.959390862944,39,47532.65000000006
11.65,1484.31221719457,39,35609.37999999998
27.7,1899.0965692503175,39,85986.64
12.3,1658.685,39,85741.26000000007
6.5,987.7579787234042,39,23782.86000000007
9.4,2107.7735849056603,39,47740.34
8.5,2461.689944134078,39,52955.68000000003
9.95,2636.4498644986447,39,68559.7000000001
9.3,2274.698701298701,39,63186.87999999996
8.1,1967.9683908045974,39,49440.51999999976
6.65,2617.7389830508473,39,50950.04000000036
8.65,2794.794117647059,39,54562.78000000003
8.6,2115.414492753623,39,47062.66000000013
9.75,1521.3460490463215,39,31947.239999999976
10.9,1759.2179176755446,39,54188.50000000002
9.4,2127.4433497536943,39,54759.76000000001
