throughput,latency,threads,p99 latency
5.5,3663.0456621004564,189,58397.600000000035
5.5,4547.368181818182,189,69307.30999999992
6.25,4133.259574468085,189,78756.31999999985
8.5,3745.115254237288,189,92067.80000000028
6.9,3104.9383116883114,189,73092.63000000003
6.3,3147.2916666666665,189,72368.55000000003
9.9,4239.246913580247,371,86507.25
8.4,3677.3770491803275,371,83127.93999999981
9.15,2265.5726495726494,371,71175.00000000004
8.6,1773.7492957746479,371,36611.27999999999
9.0,1925.0113636363637,371,48476.12999999984
11.0,1790.1225,371,45872.820000000014
10.95,3991.380410022779,280,113669.6000000001
12.2,3371.4319654427645,280,112753.76000000004
7.05,1042.7272727272727,280,29108.679999999935
7.85,1893.6946308724832,280,35319.75999999999
7.6,2865.451612903226,280,61325.50999999997
11.5,2570.604712041885,280,61932.37000000003
11.55,1507.277292576419,586,32879.099999999744
9.15,1597.743961352657,586,32546.25000000012
9.95,1769.5575916230366,586,38560.420000000275
13.2,1764.6004319654426,586,44211.32000000002
22.3,2281.8422535211266,586,55033.14999999998
22.25,1375.191919191919,586,20642.880000000052
11.2,611.2840059790733,476,16826.69999999999
13.95,1159.1190476190475,476,24081.199999999983
9.75,1045.9324894514768,476,20112.25
10.5,1446.241975308642,476,28563.679999999997
11.1,1572.8449074074074,476,32666.090000000033
11.45,1327.361419068736,476,27281.880000000012
11.65,4237.227272727272,140,145093.62000000005
24.9,2486.086183310533,140,101173.9999999961
11.3,373.8149171270718,140,6677.25
7.7,1157.6015831134564,140,31381.399999999976
10.25,1970.6044568245125,140,41731.79999999999
15.15,1476.293307086614,140,40883.45999999972
20.55,1828.0042016806722,550,66162.75000000019
26.0,1210.43716433942,550,36380.11999999868
18.65,335.0582306830907,550,5355.699999999989
20.0,696.7102199223802,550,18995.299999999985
16.65,854.1828103683491,550,20548.259999999995
7.75,900.5840163934425,550,23376.240000000034
9.45,1897.2238372093022,542,36103.55
8.2,2318.8356940509916,542,43364.27999999989
8.55,2388.9164179104473,542,60235.15999999998
11.45,1787.705,542,47529.6
8.45,1540.997487437186,542,39929.12999999997
11.6,1806.0,542,43534.30000000006
11.35,4326.555555555555,550,124771.79999999932
17.55,2862.3875432525947,550,90137.51000000104
7.8,706.1242603550296,550,24306.00000000006
6.05,2203.9963898916967,550,47018.43999999997
5.05,3476.9419642857138,550,51713.25
6.75,3758.279661016949,550,69835.06999999999
6.4,3043.456273764258,477,70420.44
6.65,3750.727969348659,477,93306.7999999998
6.5,4093.9657794676805,477,101233.84000000039
6.05,4058.836653386454,477,96561.99999999987
7.35,4742.350746268657,477,109430.17
8.25,3990.0160256410254,477,93954.03000000007
8.7,3003.11209439528,586,68955.60000000012
10.3,2190.342105263158,586,57169.68999999997
10.2,1870.412195121951,586,49888.64999999989
9.25,1742.043701799486,586,36174.27999999982
11.85,1504.5284360189573,586,38502.5199999999
11.6,1394.4764957264956,586,35777.94000000002
7.05,5404.876675603216,586,163944.0799999999
24.9,2845.5571205007823,586,129046.36000000058
8.3,371.9864457831325,586,9375.150000000021
6.55,1572.2861952861952,586,39848.7999999999
6.2,3085.4745098039216,586,58587.07999999999
11.65,2804.3893557422966,586,59699.34000000003
11.05,3476.6945054945054,586,82352.59999999999
18.4,2001.741935483871,586,68888.90000000015
8.95,687.0110091743119,586,18727.139999999992
10.15,1523.476439790576,586,30698.250000000022
11.1,1676.7411764705882,586,46460.90000000004
9.95,1883.7054631828978,586,48077.57999999998
8.55,2371.4783783783782,586,39979.70000000002
21.7,1583.5603305785123,586,29183.759999999926
29.35,1136.1803921568626,586,19639.249999999953
