IRR,Request Count,Mean Latency (for window),99th Latency
-1,1306,3112.2584269662916,72329.75999999998
-1,2429,1691.5162094763093,44310.420000000144
-1,3573,2425.259842519685,60679.60000000003
-1,5350,1377.935195530726,20590.439999999948
-1,6715,1339.2898230088495,27275.569999999978
-1,8341,1431.9137931034484,39327.379999999815
-1,10517,786.0177383592018,21969.320000000036
-1,11683,1914.2691358024692,46300.91999999999
-1,12772,3320.919028340081,69704.28000000001
-1,13599,3686.5727554179566,77196.47999999994
-1,14850,1378.1416666666667,34633.99999999999
-1,16160,2691.93164556962,61312.52000000004
-1,17530,1815.35,46476.18000000011
-1,19593,1780.7305389221556,38778.72000000024
-1,20928,2456.7100591715975,56000.98000000001
-1,22046,2817.5620915032678,65107.220000000016
-1,23364,2101.2666666666664,41229.39999999984
-1,24538,3900.4031007751937,76381.49000000005
-1,25395,3719.012383900929,85046.59999999993
-1,27035,921.2857142857142,20887.59999999999
-1,28232,2157.3063725490197,52763.099999999846
-1,29276,3003.007117437722,74195.60000000002
-1,30649,2579.4353312302837,60568.01999999995
-1,32054,2576.4892966360853,55940.319999999985
-1,33703,1520.4122938530734,31637.760000001417
-1,34606,2684.512578616352,58029.14
-1,35741,1631.9727520435968,37293.51999999998
-1,37200,3609.45703125,55074.530000000006
-1,38036,3588.952978056426,110096.2000000003
-1,39107,2400.719298245614,46526.81999999968
