IRR,Request Count,Mean Latency (for window),99th Latency
-1,8693,779.3984420080784,15489.349999999999
-1,12741,618.9675567039908,15459.48
-1,16745,1101.3905639307648,24532.71999999985
-1,20577,1450.7701449275362,31470.489999999998
-1,24565,674.3228090882266,15455.099999999999
-1,24845,29231.154166666667,57155.52
-1,26908,5850.221324717286,107113.81999999999
-1,30856,4272.803784570597,137652.15
-1,33666,5839.878491113529,31709.620000000003
-1,37777,666.1633691351045,15451.439999999999
-1,41509,1293.5326617826615,31482.609999999997
-1,45616,989.3045643153526,20497.760000000002
-1,49453,1261.0997945406516,31447.519999999997
-1,53250,1282.4682563338301,31478.01
-1,57105,1323.2650043490867,31482.5
-1,60947,1429.6743913171017,31483.6
-1,64807,1213.8287711124053,26269.65
-1,68658,1474.1668117203365,31469.64
-1,72623,1070.959224408326,31259.65999999966
-1,76716,505.9096455549099,15436.14
-1,80745,592.705950991832,15447.97
-1,85082,525.4966316356777,15430.67
-1,89243,647.1419031719531,15465.099999999999
-1,93362,654.5873690172756,15467.679999999998
-1,97280,1197.1349640287767,31443.25
-1,101269,1201.266893810335,31453.469999999998
-1,105277,1266.9337822671155,31470.1
-1,109236,1189.2641726618704,31514.92
-1,113260,725.8812481941635,15462.38
-1,117116,1117.8084291187738,31451.059999999998
-1,121142,651.8593342981187,15468.32
-1,125254,789.1999439932791,15478.56
-1,129140,1310.6097702820587,31494.8
-1,133150,740.4242690058479,15502.32
-1,137056,1194.0672074159909,31405.109999999993
-1,141174,640.9814032121724,15471.0
-1,145108,905.5684210526316,15506.789999999999
-1,149074,1258.2917967641215,31415.769999999997
-1,153052,734.8693215339232,15494.09
-1,157194,767.7590260285474,15471.0
-1,161284,802.0420813193062,15481.279999999999
-1,165120,1311.2428320655351,31434.43
-1,169153,727.7594571181056,15470.0
-1,173229,852.2643710870802,15504.0
-1,177288,687.899593731863,15483.519999999999
-1,181287,949.0409038901602,16419.449999999997
-1,185377,874.0053266049902,15495.64
-1,189563,577.2735351291308,15458.98
-1,193500,1172.2028901734104,22272.39
-1,197344,1431.6225204200698,31526.879999999997
-1,201312,848.0679696616102,15488.71
-1,205349,702.5162224797218,15465.939999999999
-1,209524,572.0810119386015,15437.0
-1,213571,663.9356335169614,15457.5
-1,217571,926.9893279492356,15497.64
-1,221610,923.1093394077449,15478.869999999999
-1,225599,1043.309968399885,30578.019999999837
-1,229574,1156.1887064246614,31495.479999999996
-1,233671,798.187232829866,15480.9
-1,237724,790.7285429141716,15462.92
