IRR,Request Count,Mean Latency (for window),99th Latency
-1,1695,24107.476190476187,57704.0
-1,1743,60952.12903225806,109287.0
-1,1756,69957.25,174856.0
-1,1778,175723.42857142855,234876.0
-1,1813,55895.90476190476,288017.0
-1,1920,178129.82352941178,367403.0
-1,1920,0.0,0.0
-1,1920,0.0,0.0
-1,1920,0.0,0.0
-1,1920,0.0,0.0
-1,1921,669821.0,669821.0
-1,1921,0.0,0.0
-1,1926,780782.0,780782.0
-1,1926,0.0,0.0
-1,1939,765469.5,919657.0
-1,1944,732933.6666666666,931370.0
-1,1948,692370.5,694387.0
-1,1952,1014564.0,1079484.0
-1,1958,1029714.0,1150429.0
-1,1962,990925.0,1218090.0
-1,1966,1157446.5,1224315.0
-1,1969,1152069.5,1318790.0
-1,1976,1335445.857142857,1383560.0
-1,1977,1435325.0,1435325.0
-1,2105,720892.5952380951,1512756.0
-1,2197,59216.48648648649,1578403.0
-1,2210,464859.19999999995,1630704.0
-1,2220,621956.0,1677162.0
-1,2331,397302.11475409835,1774791.0
-1,2334,0.0,0.0
-1,2334,0.0,0.0
-1,2334,0.0,0.0
-1,2415,754609.7619047619,2002942.0
-1,2415,0.0,0.0
-1,2415,0.0,0.0
-1,2415,0.0,0.0
-1,2417,2135737.0,2135737.0
-1,2521,495641.81578947365,2295258.0
-1,2565,682586.8484848485,2340578.0
-1,2569,1926168.75,2437910.0
-1,2633,271381.1379310345,2476116.0
-1,2645,1342542.4545454546,2547483.0
-1,2895,155171.21739130435,2559060.0
-1,2986,220457.10769230768,2658536.0
-1,2986,0.0,0.0
-1,3207,185628.5375,2780312.0
-1,3207,0.0,0.0
-1,3207,0.0,0.0
-1,3371,437924.8727272727,2957117.0
-1,3372,412322.0,412322.0
-1,3372,0.0,0.0
-1,3408,694265.4,3172138.0
-1,3837,294720.7748538011,3202459.54
-1,4616,37045.93866171004,482166.97
-1,5458,4072.8430583501004,50084.97999999994
-1,5565,40717.206185567,87231.0
-1,5675,70857.625,466037.0
-1,5829,102630.57142857142,210285.43000000002
-1,7067,52043.98858647937,334317.9999999923
-1,7284,28684.673469387755,281834.0
