IRR,Request Count,Mean Latency (for window),99th Latency
-1,7303,642.165502793296,15465.699999999999
-1,10574,1044.050034989503,31398.429999999993
-1,13875,808.5712780898875,15490.509999999998
-1,17335,641.8455637091395,15482.0
-1,20639,770.2937433722163,15506.099999999999
-1,23975,837.0822853036291,15454.0
-1,27370,684.9123102866779,15471.34
-1,30687,681.0794539726986,15506.42
-1,33970,1179.2007601935038,26237.149999999998
-1,37289,1137.1790228903315,30444.679999999335
-1,40569,1068.3686206896552,20249.009999999016
-1,44038,600.3635121284592,15455.16
-1,47452,878.821681864235,15511.369999999999
-1,50844,775.3333333333334,15491.55
-1,54282,727.963177633822,15510.32
-1,57740,690.7342896174863,15457.13
-1,61216,628.884278002699,15443.0
-1,64457,1109.134628975265,23966.039999999757
-1,67770,1129.4495884773662,30764.279999999726
-1,71208,706.7237288135592,15457.0
-1,74563,757.6208448753463,15494.22
-1,77898,785.3619014573212,15487.679999999998
-1,81322,631.3633572159673,15463.039999999999
-1,84732,721.1169630642955,15489.5
-1,88254,660.9723977386099,15493.679999999998
-1,91622,702.322241681261,15488.32
-1,95060,515.8502973067506,15451.509999999997
-1,98558,674.10550918197,15481.08
-1,101936,661.3736033519552,15504.349999999999
-1,105157,1350.5699754472114,31479.84
-1,108534,587.1536559519604,15456.359999999999
-1,111746,936.6080887616321,15598.250000000025
-1,115134,734.7828630419821,15490.88
-1,118602,668.7314535078885,15480.0
-1,121975,607.0069735006973,15453.099999999999
-1,125400,630.9248534987935,15461.96
-1,128812,647.2164383561643,15494.9
-1,132222,673.0984455958549,15465.08
-1,135687,708.5135409614082,15493.9
-1,138958,689.529580494801,15476.199999999999
-1,142389,669.1644113667118,15466.429999999998
-1,145739,751.3851540616246,15501.859999999999
-1,148666,3106.422024866785,31595.359999999997
-1,152051,705.3519417475727,15490.0
-1,155415,755.860947768938,15496.0
-1,158805,696.0235701906413,15498.699999999999
-1,162180,820.5437993816557,15510.0
-1,165521,579.5551588718315,15448.97
-1,168937,642.9476190476191,15465.59
-1,172299,835.3789437585734,15504.83
-1,175722,632.4419253575165,15479.920000000002
-1,179071,710.2228033472803,15488.5
-1,182355,1234.493758668516,26402.000000000015
-1,185631,1025.381818181818,16227.679999999997
-1,188985,769.3570432357043,15490.3
-1,192395,654.2716304722509,15499.9
-1,195810,642.5714285714286,15479.439999999999
-1,199135,1059.5044951590594,24353.559999999845
-1,202350,1149.2583511016346,30998.94999999976
-1,205779,574.1503472222222,15475.38
