throughput,latency,threads,p99 latency
191.76666666666668,113.65623237450649,181,291.0
184.93333333333334,160.91564387297876,376,380.0
188.75,129.37496486461163,509,298.0
180.5,169.50520935718498,516,303.30000000000103
189.41666666666666,128.07468958930275,120,364.8100000000013
183.83333333333334,184.93867272368158,428,389.5999999999967
192.6,99.03118835133866,477,292.0
188.16666666666666,138.1150544893432,119,291.5600000000013
179.25,416.7150601222156,480,17806.059999999998
196.05,99.74536005939125,477,392.5600000000013
184.85,349.0473296133918,476,17478.48999999998
178.26666666666668,439.89875,476,17953.879999999994
192.31666666666666,322.2030580444098,478,16598.449999999997
182.01666666666668,446.974753823591,178,17909.0
186.86666666666667,387.71284479209555,184,16706.62
190.63333333333333,405.5064298836497,175,16983.04
180.66666666666666,489.84071776694725,176,17914.96999999999
180.88333333333333,482.0132124062255,190,17959.01
189.2,426.38461538461536,486,16734.77
195.83333333333334,392.31812447434817,111,16443.450000000026
194.31666666666666,411.71773142112124,113,16861.93
190.71666666666667,428.0322290847838,109,16862.94
188.45,456.51544134593223,108,16760.189999999966
196.13333333333333,427.736298292902,113,16872.86
176.05,592.3924134284958,166,18049.66
189.18333333333334,496.54385530227944,130,16923.27
197.58333333333334,427.22281323877064,481,16473.339999999997
188.36666666666667,511.7355329949238,484,17936.800000000003
186.71666666666667,547.7951264733148,477,17900.96
183.25,561.5810124845657,483,17021.600000000002
184.88333333333333,588.4029030439684,481,17975.419999999995
191.93333333333334,526.6198695297635,490,16779.87
182.9,606.8244964454976,491,17897.469999999998
181.05,634.3678143485515,500,16991.2
185.78333333333333,620.6704012112035,523,17056.639999999996
179.56666666666666,719.3862320039716,496,18085.480000000003
192.48333333333332,574.2603046594982,104,16941.149999999998
191.6,599.485397469936,99,16892.36
190.11666666666667,652.4813230212276,107,17033.21
183.11666666666667,726.6003837432409,97,17092.649999999998
191.33333333333334,620.0349975120253,96,16905.5
192.66666666666666,600.1682181936959,92,16896.28
188.91666666666666,659.4122331413081,93,17088.82
185.86666666666667,701.8449131513647,94,17076.559999999998
191.61666666666667,648.0509306260575,89,16923.299999999996
195.83333333333334,594.9462776980711,100,16957.56
192.61666666666667,628.4174805495778,99,16981.0
197.9,561.8376162699037,100,16896.679999999997
199.15,583.8671439936356,100,16883.28
193.48333333333332,610.0845721836802,102,16895.319999999996
153.61666666666667,1127.169130998703,327,24057.76
194.93333333333334,601.2609048159559,141,16910.7
184.81666666666666,552.4279053084649,144,16825.149999999998
191.48333333333332,505.22796770314375,138,16923.77
187.51666666666668,554.2110140794867,144,17923.76
190.86666666666667,512.551724137931,137,16946.6
194.13333333333333,514.413144042112,154,16654.7
194.18333333333334,495.51158645276286,153,16520.679999999997
185.56666666666666,551.9191991419377,149,17906.360000000004
188.16666666666666,497.9634350888963,157,16947.11
