IRR,Request Count,Mean Latency (for window),99th Latency
-1,4975,18967.270584095706,88525.20000000016
-1,11765,223.68061336254107,362.3400000000001
-1,18492,22.892608402606154,193.47999999999954
-1,25198,22.955760161688747,220.3800000000001
-1,31538,532.9609587348652,7256.08
-1,38365,26.580884002692393,297.8400000000001
-1,45093,22.982110912343472,222.80999999999855
-1,51422,713.9933759707628,7509.42
-1,58248,22.617389350707704,190.31999999999607
-1,64625,693.9446891825746,7275.13
-1,71384,22.67890314020345,205.23999999999796
-1,78058,21.821324354657687,165.8799999999992
-1,84550,701.2718096611391,7297.37
-1,91461,22.82165039929015,221.6800000000003
-1,97689,803.5558306511513,7659.599999999997
-1,104539,22.3681076312307,188.94999999999888
-1,111477,22.09967213114754,195.23999999999978
-1,117908,714.6008082622362,7316.9
-1,124837,23.56862317259437,209.44999999999888
-1,131096,44.74512287813529,390.1199999999999
-1,138043,24.04517133956386,246.58000000001718
-1,144848,25.491335819258605,294.7999999999993
-1,151212,118.99978161170561,7120.0
-1,158118,24.98775420949049,290.78000000000065
-1,164424,750.5741246585548,7448.079999999997
-1,171223,22.388209121245826,190.0
-1,177605,751.9064783244032,7300.929999999999
-1,184328,23.4584365848164,278.60000000000036
-1,190984,22.813039527487504,214.85000000000127
-1,197259,574.7217692117619,7264.5199999999995
-1,203813,605.5386114494519,7247.82
-1,210541,22.691605433088398,228.15999999999985
-1,217249,22.01443960577584,173.71999999999935
-1,223863,24.33650653088333,254.0199999999968
-1,230714,22.395787139689578,213.45000000000164
-1,237213,23.781798483206934,254.6800000000003
-1,244066,21.32279860505667,161.54999999999836
-1,250513,667.6398081534771,7271.29
-1,257264,21.915096430946573,189.73999999999978
-1,263386,59.28195782348347,591.5799999999998
-1,270604,22.171885122003886,176.36000000000058
-1,277392,22.065745486962335,185.8399999999992
-1,283867,716.8491890583393,7305.0
-1,290742,24.52086994727592,233.47000000000025
-1,297520,21.571522597630537,152.50999999999837
-1,303838,400.2018819503849,7275.459999999999
-1,310659,22.522153300841826,201.0
-1,317521,23.377020146114678,237.19999999999706
-1,323754,24.74921206663665,291.5699999999997
-1,330479,22.97424988804299,200.02000000000044
-1,336949,629.1473608789108,7271.48
-1,343744,21.41430499325236,164.0599999999995
-1,350092,730.5704450454881,7285.639999999999
-1,356969,21.885082872928177,191.0
-1,363767,22.98720211827008,212.6800000000003
-1,370323,22.342013888888886,202.54999999999927
-1,377247,25.54539459221807,296.0
-1,383646,804.5696327335469,7572.200000000001
-1,390555,21.84091913389306,191.0
-1,397179,24.663720824835714,267.8999999999951
