throughput,latency,threads
0.0,0.0,25
0.0,0.0,25
40.1,181.5196936296758,171
108.45,174.82644877112085,200
54.65,317.4365653959153,200
1.85,371.81120487793,200
1.55,740.9357492661499,200
0.25,3484.4831519452055,200
9.7,1788.8682705086956,200
1.3,3010.6992482933333,200
11.0,1960.763425706818,200
0.15,3273.752200425703,200
1.2,4677.887153611336,200
0.05,30613.105485464286,200
0.25,23656.415412033333,200
10.05,5449.465098985507,200
0.2,5253.154242214286,200
0.05,5230.4411540485435,200
0.3,6101.1500559999995,200
0.05,6677.5992961249995,200
0.3,32969.70425453846,200
0.05,94116.576353375,200
0.25,96284.20679899999,200
0.5,48761.4002426875,200
0.1,60799.41914935294,200
0.05,49562.33461338461,200
0.1,142183.9244888,200
0.1,120298.5462488,200
0.1,170114.26745383334,200
0.05,190770.025817,200
0.1,206199.84084239998,200
0.05,292775.01932575,200
0.1,242444.6049162,200
0.05,316244.91763375,200
0.1,141217.5008506,200
0.05,316918.02946775,200
