IRR,Request Count,Mean Latency (for window),99th Latency
0.0,4908,29.493918946617764,563.5271079699999
0.0,8967,247.59248387952695,3411.7310538699967
0.0,9145,3702.696730432584,116731.26624974007
0.0,9150,127879.40982939999,179032.69222
0.0,9876,1048.634129022695,275.8261801000036
0.0,9880,272157.31012475,299798.617028
0.0,9893,111377.420221,339916.918287
0.0,9898,248557.03630179996,382052.353757
0.0,9903,390091.0707032,480934.4963
0.0,9908,445563.9376122,530034.3855249999
0.0,9912,150203.59828175,560621.1408899999
0.0,9917,281240.4184412,630962.884564
