throughput,latency,threads
4.85,118.50823012396694,122
3.0,110.43481340331492,182
233.55,186.317917518227,212
155.35,184.71463897537635,381
89.6,170.68836263772204,381
19.75,187.90549153475632,298
11.6,475.1855813030178,298
6.6,2767.148247882823,298
1.4,5277.172428158163,298
1.75,8881.437902420514,333
3.25,7225.5631042578125,394
2.6,6848.545964565789,199
0.15,8819.476451283332,196
0.05,16954.730101375,195
0.15,148828.5958732857,192
0.05,161381.8861656,191
0.1,193598.14162233332,189
0.05,253411.70381325,188
0.1,271751.4509514,186
0.05,264433.11751725,185
1.45,44510.11726193939,220
14.3,3928.7064967310125,377
1.5,4533.733253275362,377
0.05,4091.346024971061,200
0.1,32604.342558272725,198
0.05,143493.289475,197
0.75,49236.666304263155,217
0.85,40508.316618363635,233
0.6,40230.899495909085,246
0.1,40919.21639904,200
0.1,77358.7304704375,198
0.05,259101.63676899998,197
0.1,398633.77559699997,195
0.05,459351.6277405,194
0.1,390974.8320804,192
0.05,458179.68172299996,191
