throughput,latency,threads
0.0,0.0,25
0.0,0.0,25
690.75,16.94752623579648,171
1638.2,17.79789942857756,200
1584.25,12.907638605438004,200
1017.3,12.395032547023296,200
704.0,12.71747833238498,200
679.5,15.646882054430723,200
521.85,17.82082722329816,200
344.9,12.732572339677702,200
141.5,21.33927761306106,200
64.9,35.60767199972643,200
18.65,128.81356473450344,200
15.9,325.9248484630467,200
54.15,494.7531953010146,200
46.5,338.75352478635773,200
84.2,269.3732786667568,200
13.0,305.92091256263046,200
0.55,729.3664146404092,200
0.05,4596.280423930147,200
0.1,90292.82647128572,200
0.85,26432.505229849998,200
0.1,15703.21795642857,200
0.05,23329.903797900002,200
0.1,96045.5878366,200
0.05,222623.40514624998,200
0.1,124996.885059,200
0.05,152802.37619049998,200
0.15,38041.57291616666,200
0.05,16193.4821536,200
0.1,15723.207279333334,200
0.05,30334.832470999998,200
0.45,11193.867752083333,200
0.05,63548.61886290908,200
0.15,49630.225815692305,200
0.05,126387.1957286,200
