throughput,latency,threads
1.85,127.69319702272726,62
1.5,142.8012923108108,92
392.3,32.23520012687982,112
141.25,69.84426137603963,396
489.7,53.81011903927891,396
739.15,38.95417231622372,396
1503.65,15.803209840256175,174
199.4,13.222554200325666,174
73.05,22.477965237460925,174
0.45,200.73474050573847,165
0.1,803.6413434028532,163
0.2,86542.58275986667,159
0.1,141841.857756375,157
0.1,148058.539930375,155
0.1,184147.543958,153
394.95,149.4068132909022,166
14.35,177.28524788080117,166
28.85,123.47800622275916,185
31.75,570.6409289372915,226
2.0,340.7263839145367,226
0.05,693.7169660258359,226
0.1,7101.6707885116275,198
0.05,63069.137674,197
0.1,79681.5478286,195
0.35,65579.2104239,206
0.15,72263.43897866667,209
0.1,97401.82416799999,211
0.3,48273.72903772727,217
2.0,9164.05137225,257
0.25,13317.349457392156,259
0.55,12848.624576607142,259
1.15,26983.51014733333,259
0.25,20849.731445999998,200
0.05,21166.755840206897,199
0.1,56337.871278,197
0.1,327665.4861442,195
