throughput,latency,threads,p99 latency
5.4,2917.5271317829456,37,56115.36000000014
6.8,3347.700819672131,37,63531.550000000076
7.5,3771.097902097902,37,90939.75999999998
6.8,3435.3671328671326,37,90939.75999999998
8.2,2679.99,37,62971.500000000065
8.4,2696.984939759036,37,61442.54000000007
9.3,2756.7118644067796,304,80930.74999999987
12.85,2163.2257336343114,304,63312.920000000035
16.35,1074.388698630137,304,30199.99999999983
23.95,1259.008674101611,304,13845.199999999964
28.95,827.0198487712665,304,6401.700000000252
22.45,715.9630350194551,304,3994.6800000000003
9.85,1312.8421052631577,455,27821.369999999883
8.25,1452.8977900552486,455,33514.55000000003
11.25,2134.1696658097685,455,47765.1
14.5,1687.2485436893203,455,47765.84
10.2,1071.1676767676768,455,20377.20000000025
26.25,1163.3251028806583,455,25889.200000000008
16.0,920.1350710900473,486,24730.049999999897
8.7,825.8060606060606,486,20402.450000000008
15.3,2251.6229166666662,486,45217.679999999986
15.95,1516.2895999999998,486,41692.32000000006
18.45,961.0625,486,12384.880000000026
18.2,1468.293315143247,486,39584.97999999986
7.45,1608.2397660818713,255,48074.40000000011
5.8,2091.9811320754716,255,41533.82
5.15,3139.648401826484,255,50196.8
6.75,4099.247899159664,255,79816.48999999992
6.8,4594.173431734318,255,86267.47999999991
8.7,3503.7524115755623,255,86637.67999999992
9.3,2526.686111111111,360,64501.83999999987
9.4,2258.181818181818,360,63220.0
15.25,1278.9006085192696,360,27188.400000000005
20.95,1748.0538674033148,360,71792.0
6.85,2200.8183453237407,360,91181.53999999886
7.45,1807.8846153846152,360,32833.40999999999
8.95,2194.838414634146,152,49350.58999999989
9.25,2031.6346153846152,152,54807.4000000002
9.35,2224.860215053763,152,62901.14999999993
14.2,1858.4564755838642,152,38976.95999999966
28.5,1607.162763466042,152,52214.65000000089
16.25,1239.7798882681566,152,33907.23999999964
6.65,684.4279475982532,168,21700.90000000002
7.0,2213.6813186813188,168,47837.83999999999
7.15,2576.7915194346288,168,49437.720000000125
6.2,3225.14606741573,168,80506.47999999991
6.1,4475.573170731707,168,95759.15000000001
7.15,3783.26037735849,168,94114.69999999978
7.0,3312.4664310954063,297,77431.20000000024
6.75,3367.621818181818,297,90203.48000000014
6.05,2951.20703125,297,78415.16000000009
7.6,2824.7179487179487,297,58387.37999999982
8.65,2607.636923076923,297,61775.06000000013
8.0,2563.441087613293,297,62682.240000000056
7.95,3347.9467084639496,85,69550.00000000017
7.85,3011.3734177215188,85,67415.82999999975
7.95,2464.7879746835442,85,54183.72999999987
7.95,3175.949685534591,85,55314.95
10.0,2400.7214484679666,85,46289.19999999996
19.85,1681.038525963149,85,35268.91999999981
24.4,1396.6994350282484,318,30875.159999999996
15.7,863.6758104738154,318,9898.24000000002
8.55,716.4391752577319,318,15702.659999999996
9.6,1917.402203856749,318,41163.160000000025
8.8,2195.4375,318,43595.119999999995
8.1,1944.1923076923076,318,40421.430000000095
13.2,1804.826291079812,220,49559.880000000296
32.15,2331.0793825799337,220,55171.839999999786
28.9,1485.2989352989352,220,9898.93999999992
