IRR,Request Count,Mean Latency (for window),99th Latency
-1,1446,2688.912912912913,61393.92000000012
-1,3723,717.0926829268292,3994.9199999999996
-1,5337,1153.2119565217392,25875.48
-1,7182,1484.1212534059946,39542.4499999999
-1,7997,3500.3194888178914,86304.46000000022
-1,9383,1797.961937716263,32786.70000000003
-1,11113,1257.4135593220337,34892.83999999986
-1,11913,3811.9087452471485,94287.80000000012
-1,12799,2548.006006006006,62507.880000000216
-1,14046,1644.9161184210527,34712.03999999988
-1,15538,1958.75073313783,40209.539999999884
-1,17474,2720.1935483870966,59414.399999999994
-1,18317,3865.4028776978416,100429.92999999975
-1,19123,4146.645614035087,97780.17999999992
-1,20458,837.5450381679389,17967.75999999992
-1,22907,1780.4242424242425,35744.65999999997
-1,24006,1410.919896640827,30744.399999999998
-1,25723,617.8690265486725,16471.2
-1,26633,3243.776025236593,76669.81999999996
-1,28679,844.4766260162601,8823.149999999996
-1,29486,3432.4870848708483,67647.55999999975
-1,30449,2348.141935483871,49308.84999999988
-1,31777,2182.7071197411,22448.69999999987
-1,33547,958.1555075593951,22306.200000000033
-1,35228,1165.5734536082475,20303.210000000203
-1,36477,2485.507204610951,72684.47999999995
-1,38281,1272.36582278481,19696.710000000166
-1,39919,1715.7565217391304,78870.83000000037
-1,40809,3990.1916376306617,100007.9200000001
-1,41733,2572.826923076923,81955.28000000022
